,region,council,date_issued,council_ref,location_all,location_street,location_suburb,location_area,legal_description,val_number, consent_value ,description
225,Gisborne,Gisborne,28-Apr-17,17728,139 Russell Street Gisborne ,139 Russell Street,Gisborne,,,," $8,000.00 ",woodburner
226,Gisborne,Gisborne,28-Apr-17,17734,84 De Lautour Road Gisborne ,84 De Lautour Road,Gisborne,,,," $5,500.00 ",woodburner
227,Gisborne,Gisborne,28-Apr-17,17729,65 Moana Road Wainui ,65 Moana Road,Wainui,,,," $4,500.00 ",woodburner
228,Gisborne,Gisborne,28-Apr-17,17733,109A Lytton Road Gisborne ,109A Lytton Road,Gisborne,,,," $4,000.00 ",woodburner
229,Gisborne,Gisborne,28-Apr-17,17727,27 Walls Road Gisborne ,27 Walls Road,Gisborne,,,," $3,000.00 ",woodburner
235,Gisborne,Gisborne,02-May-17,17738,17 Bloomfield Road Matawhero ,17 Bloomfield Road,Matawhero,,,," $6,000.00 ",new logfire
236,Gisborne,Gisborne,02-May-17,17737,19 Bulwer Road Gisborne ,19 Bulwer Road,Gisborne,,,," $5,000.00 ",new logfire
237,Gisborne,Gisborne,02-May-17,17736,3 Keiha Street Gisborne ,3 Keiha Street,Gisborne,,,," $5,000.00 ",new logfire
242,Gisborne,Gisborne,04-May-17,17744,27 Albert Street Gisborne ,27 Albert Street,Gisborne,,,," $6,000.00 ",new logfire
243,Gisborne,Gisborne,04-May-17,17743,29 Harris Street Gisborne ,29 Harris Street,Gisborne,,,," $4,500.00 ",new logfire
244,Gisborne,Gisborne,05-May-17,17745,809A Whangara Road Gisborne ,809A Whangara Road,Gisborne,,,," $6,000.00 ",new logfire
248,Gisborne,Gisborne,08-May-17,17750,102 Waima Road Tokomaru Bay ,102 Waima Road,Tokomaru Bay,,,," $8,000.00 ",new logfire
249,Gisborne,Gisborne,08-May-17,17748,19 Waimata Road Gisborne ,19 Waimata Road,Gisborne,,,," $6,500.00 ",new logfire
253,Gisborne,Gisborne,10-May-17,17758,3 Ruth Street Gisborne ,3 Ruth Street,Gisborne,,,," $7,000.00 ",new logfire
254,Gisborne,Gisborne,10-May-17,17759,1234 Panikau Road Whangara ,1234 Panikau Road,Whangara,,,," $6,000.00 ",new logfire
257,Gisborne,Gisborne,11-May-17,17760,1542 Panikau Road Whangara ,1542 Panikau Road,Whangara,,,," $6,000.00 ",new logfire
258,Gisborne,Gisborne,12-May-17,17764,1184 Tiniroto Road Gisborne ,1184 Tiniroto Road,Gisborne,,,," $8,000.00 ",new logfire
259,Gisborne,Gisborne,12-May-17,17763,47 Darwin Road Gisborne ,47 Darwin Road,Gisborne,,,," $5,500.00 ",new logfire
260,Gisborne,Gisborne,12-May-17,17765,47 Lyell Road Gisborne ,47 Lyell Road,Gisborne,,,," $4,500.00 ",new logfire
262,Gisborne,Gisborne,15-May-17,17771,98 Bushmere Road Matawhero ,98 Bushmere Road,Matawhero,,,," $7,000.00 ",new logfire
264,Gisborne,Gisborne,15-May-17,17768,312 King Road Hexton ,312 King Road,Hexton,,,," $4,500.00 ",new logfire
265,Gisborne,Gisborne,15-May-17,17772,391 Clifford Street Gisborne ,391 Clifford Street,Gisborne,,,," $4,000.00 ",new logfire
266,Gisborne,Gisborne,15-May-17,17767,74 Norman Road Gisborne ,74 Norman Road,Gisborne,,,," $3,000.00 ",new logfire
268,Gisborne,Gisborne,15-May-17,17775,111 Glenelg Road Makauri ,111 Glenelg Road,Makauri,,,, $500.00 ,new logfire
271,Gisborne,Gisborne,17-May-17,17791,17 Northcote Road Gisborne ,17 Northcote Road,Gisborne,,,," $4,500.00 ",new logfire
272,Gisborne,Gisborne,17-May-17,17779,50 Shelley Road Gisborne ,50 Shelley Road,Gisborne,,,," $4,000.00 ",new logfire
273,Gisborne,Gisborne,17-May-17,17793,13 Justin Street Gisborne ,13 Justin Street,Gisborne,,,," $3,500.00 ",new logfire
277,Gisborne,Gisborne,18-May-17,17794,663 Nelson Road Gisborne ,663 Nelson Road,Gisborne,,,," $4,500.00 ",new logfire
278,Gisborne,Gisborne,18-May-17,17795,34 Roebuck Road Gisborne ,34 Roebuck Road,Gisborne,,,," $4,500.00 ",new logfire
279,Gisborne,Gisborne,18-May-17,17792,16 Wilson Street Gisborne ,16 Wilson Street,Gisborne,,,," $4,000.00 ",new logfire
280,Gisborne,Gisborne,18-May-17,17798,83 Poynter Road Te Karaka ,83 Poynter Road,Te Karaka,,,," $3,200.00 ",new logfire
290,Gisborne,Gisborne,22-May-17,17808,30 Jacob Lane Gisborne ,30 Jacob Lane,Gisborne,,,," $5,500.00 ",new logfire
291,Gisborne,Gisborne,22-May-17,17809,44 Parker Lane Makaraka ,44 Parker Lane,Makaraka,,,," $5,000.00 ",new logfire
292,Gisborne,Gisborne,22-May-17,17790,96 Waiotu Road Tokomaru Bay ,96 Waiotu Road,Tokomaru Bay,,,," $4,000.00 ",new logfire
293,Gisborne,Gisborne,23-May-17,17811,36 Arthur Street Tokomaru Bay ,36 Arthur Street,Tokomaru Bay,,,," $5,600.00 ",new logfire
296,Gisborne,Gisborne,24-May-17,17812,920 Wharerata Road Gisborne ,920 Wharerata Road,Gisborne,,,," $3,000.00 ",new logfire
297,Gisborne,Gisborne,25-May-17,17818,33 Albert Street Gisborne ,33 Albert Street,Gisborne,,,," $5,800.00 ",new logfire
298,Gisborne,Gisborne,25-May-17,17823,410 Goodwin Road Gisborne ,410 Goodwin Road,Gisborne,,,," $5,000.00 ",new logfire
299,Gisborne,Gisborne,25-May-17,17817,4 Mckenzie Street Te Puia Springs ,4 Mckenzie Street,Te Puia Springs,,,," $4,500.00 ",new logfire
300,Gisborne,Gisborne,25-May-17,17815,7 Newton Street Gisborne ,7 Newton Street,Gisborne,,,," $4,000.00 ",new logfire
301,Gisborne,Gisborne,25-May-17,17819,807 Childers Road Gisborne ,807 Childers Road,Gisborne,,,," $4,000.00 ",new logfire
303,Gisborne,Gisborne,26-May-17,17821,7 Rangitukia Road Tikitiki ,7 Rangitukia Road,Tikitiki,,,," $3,000.00 ",new logfire
306,Gisborne,Gisborne,29-May-17,17827,49 Mangatuna Road Tologa Bay ,49 Mangatuna Road,Tologa Bay,,,," $4,900.00 ",new logfire
307,Gisborne,Gisborne,29-May-17,17826,567 Ihungia Road Te Puia Springs ,567 Ihungia Road,Te Puia Springs,,,," $4,000.00 ",new logfire
312,Gisborne,Gisborne,30-May-17,17829,42 Papatu Road Manutuke ,42 Papatu Road,Manutuke,,,," $7,500.00 ",new logfire
313,Gisborne,Gisborne,31-May-17,17830,188 Balance Street Gisborne ,188 Balance Street,Gisborne,,,," $9,500.00 ",new logfire
314,Gisborne,Gisborne,31-May-17,17832,39 Makorori Beach Road Gisborne ,39 Makorori Beach Road,Gisborne,,,," $7,500.00 ",new logfire
315,Gisborne,Gisborne,31-May-17,17833,7 Cavendish Crescent Gisborne ,7 Cavendish Crescent,Gisborne,,,," $5,500.00 ",new logfire
316,Gisborne,Gisborne,31-May-17,17834,13 Magnolia Street Gisborne ,13 Magnolia Street,Gisborne,,,," $4,000.00 ",new logfire
318,Gisborne,Gisborne,01-Jun-17,17840,33 Haismanroad Hexton ,33 Haismanroad,Hexton,,,," $6,000.00 ",woodburner
321,Gisborne,Gisborne,02-Jun-17,17842,1055 Waingake Road Manutuke ,1055 Waingake Road,Manutuke,,,," $2,000.00 ",woodburner
322,Gisborne,Gisborne,02-Jun-17,17841,24 Seymour Road Gisborne ,24 Seymour Road,Gisborne,,,," $1,500.00 ",woodburner
327,Gisborne,Gisborne,06-Jun-17,17843,16 Paraone Road Gisborne ,16 Paraone Road,Gisborne,,,," $6,000.00 ",woodburner
330,Gisborne,Gisborne,08-Jun-17,17847,4 Coleman Road Gisborne ,4 Coleman Road,Gisborne,,,," $4,500.00 ",woodburner
340,Gisborne,Gisborne,12-Jun-17,17848,378 Nelson Road Gisborne ,378 Nelson Road,Gisborne,,,," $5,500.00 ",woodburner
341,Gisborne,Gisborne,12-Jun-17,17849,16 Papatu Road Manutuke ,16 Papatu Road,Manutuke,,,," $4,700.00 ",woodburner
348,Gisborne,Gisborne,13-Jun-17,17856,19 Disraeli Street Gisborne ,19 Disraeli Street,Gisborne,,,," $5,000.00 ",woodburner
350,Gisborne,Gisborne,14-Jun-17,17862,130 Russell Street Gisborne ,130 Russell Street,Gisborne,,,," $7,000.00 ",woodburner
351,Gisborne,Gisborne,14-Jun-17,17861,281 Kahutia Street Gisborne ,281 Kahutia Street,Gisborne,,,," $4,000.00 ",woodburner
369,Gisborne,Gisborne,30-Jun-17,17850,44 Douglas Street Wainui ,44 Douglas Street,Wainui,,,," $3,500.00 ",woodburner
406,Hawks Bay,Central Hawkes Bay,21-Mar-17,170012,"724 Porangahau Road, Waipukurau  ","724 Porangahau Road, Waipukurau",,,Lot 1 DP 357762,," $30,000.00 ",install new fs thermalux woodburner with boiler to supply hot water for a closed circuit central heating system
429,Hawks Bay,Central Hawkes Bay,27-Apr-17,170050,1620 Pourerere Road  ,1620 Pourerere Road,,,Pt Lot 2 DP 9048,," $5,800.00 ",install in built solid fuel heater using existing hearth-heating
430,Hawks Bay,Central Hawkes Bay,27-Apr-17,170051,1620 Pourerere Road  ,1620 Pourerere Road,,,Pt Lot 1 DP 9048,," $5,800.00 ",supply and install masport le 4000 in built solid wood burner using existing hearth-heating
448,Hawks Bay,Central Hawkes Bay,19-May-17,170094,"18 Pa Street, Waipawa  ","18 Pa Street, Waipawa",,,TAPAIRU A8X BLK XI WAIPUKURAU SD,," $6,000.00 ",install a woodsman flare fed wood fire to existing hearth heating
455,Hawks Bay,Central Hawkes Bay,29-May-17,170099,"1 Fleming Road, Waipukurau  ","1 Fleming Road, Waipukurau",,,Lot 3 DP 9835,," $5,000.00 ",install firenzo contessa wood fire with wet back
611,Hawks Bay,Hastings,28-Feb-17,1767699,907 Freyberg Street  Hastings 4120,907 Freyberg Street,,Hastings 4120,,," $4,200.00 ",replacement of sfh - bosca woodburner 380
652,Hawks Bay,Hastings,01-Mar-17,1772896,Address Unknown  Hastings,Address Unknown,,Hastings,,," $4,200.00 ","replacement of existing, insert kent logfire ii sfh"
716,Hawks Bay,Hastings,31-Mar-17,20170282,430 Kereru Road RD 1 Hastings 4171,430 Kereru Road,RD 1,Hastings 4171,,," $4,000.00 ","new installation, free standing quadra-fire 2100 millennium wood burner sfh"
833,Hawks Bay,Hastings,11-May-17,1782203,42 McHardy Street Havelock North 4130 ,42 McHardy Street,Havelock North 4130,,,," $4,000.00 ",replace existing insert ethos ares deluxe insert woodfire sfh
1068,Hawks Bay,Napier,10-Jan-17,170004,7 Arthur Hobson Avenue  ,7 Arthur Hobson Avenue,,,,," $6,250.00 ",replace existing with masport r5000p freestanding woodburner
1070,Hawks Bay,Napier,11-Jan-17,161386,91 Vigor Brown Street  ,91 Vigor Brown Street,,,,," $4,700.00 ",replace existing with masport f3000 woodburner
1071,Hawks Bay,Napier,11-Jan-17,170001,68 Barker Road  ,68 Barker Road,,,,," $4,200.00 ",replace existing with masport i2000 insert woodburner
1083,Hawks Bay,Napier,16-Jan-17,170008,34 Massey Crescent  ,34 Massey Crescent,,,,," $4,500.00 ",replace existing with woodsman totara insert woodburner
1084,Hawks Bay,Napier,16-Jan-17,170003,6 Travis Street  ,6 Travis Street,,,,," $4,000.00 ",replace existing with metro wee rad woody freestanding woodburner
1085,Hawks Bay,Napier,16-Jan-17,170002,10 Whiting Crescent  ,10 Whiting Crescent,,,,," $3,330.00 ",replace existing with masport r1500p freestanding woodburner
1099,Hawks Bay,Napier,23-Jan-17,170026,15 Fitzroy Road  ,15 Fitzroy Road,,,,," $5,300.00 ",replace existing with firenzo athena bay insert woodburner
1104,Hawks Bay,Napier,30-Jan-17,170046,24 Veronica Avenue  ,24 Veronica Avenue,,,,," $4,500.00 ",replace existing with metro wee rad freestanding woodburner
1105,Hawks Bay,Napier,30-Jan-17,170031,7A Peddie Street  ,7A Peddie Street,,,,," $4,500.00 ",replace existing with woodsman ecr novo freestanding woodburner
1106,Hawks Bay,Napier,30-Jan-17,170029,8 Selkirk Street  ,8 Selkirk Street,,,,," $4,100.00 ",replace existing with masport i2000 insert woodburner
1107,Hawks Bay,Napier,31-Jan-17,170036,65 Freyberg Avenue  ,65 Freyberg Avenue,,,,," $3,472.00 ",install masport r1600 freestanding woodburner
1109,Hawks Bay,Napier,01-Feb-17,170038,117 Wellesley Road  ,117 Wellesley Road,,,,," $4,800.00 ",replace existing with firenzo ag freestanding woodburner
1122,Hawks Bay,Napier,02-Feb-17,170039,2A Bright Crescent  ,2A Bright Crescent,,,,," $4,500.00 ",replace existing with metro wee rad freestanding woodburner
1124,Hawks Bay,Napier,07-Feb-17,170047,44 Whiting Crescent  ,44 Whiting Crescent,,,,," $4,400.00 ",replace existing with metro eco tiny rad freestanding woodburner
1125,Hawks Bay,Napier,07-Feb-17,170058,75A Guppy Road  ,75A Guppy Road,,,,," $3,781.00 ",replace existing with masport 1500p freestanding woodburner
1126,Hawks Bay,Napier,09-Feb-17,170062,36 Lister Crescent  ,36 Lister Crescent,,,,," $4,500.00 ",replace existing with woodsman totara insert woodburner
1127,Hawks Bay,Napier,09-Feb-17,170061,2/1 Murphy Road  ,2/1 Murphy Road,,,,," $4,500.00 ",replace existing with masport 1200 woodburner
1135,Hawks Bay,Napier,13-Feb-17,161156,4 Lamason Street  ,4 Lamason Street,,,,," $14,000.00 ",remove wall/install firenzo contessa ag freestanding woodburner
1138,Hawks Bay,Napier,14-Feb-17,170084,99A Avondale Road  ,99A Avondale Road,,,,," $5,360.00 ",replace existing with masport f3000 woodburner
1139,Hawks Bay,Napier,14-Feb-17,170080,21 Avondale Road  ,21 Avondale Road,,,,," $4,755.00 ",replace existing with firenzo forte insert woodburner
1140,Hawks Bay,Napier,14-Feb-17,170073,6 Matai Place  ,6 Matai Place,,,,," $4,500.00 ",replace existing with masport r5000 freestanding woodburner
1141,Hawks Bay,Napier,14-Feb-17,170072,2/15 Burness Road  ,2/15 Burness Road,,,,," $4,500.00 ",replace existing with metro ri woodburner
1142,Hawks Bay,Napier,14-Feb-17,170071,14 Nelson Crescent  ,14 Nelson Crescent,,,,," $4,000.00 ",replace existing with pyroclassic iv woodburner
1157,Hawks Bay,Napier,18-Feb-17,171001,72 Nelson Crescent  ,72 Nelson Crescent,,,,," $4,750.00 ",replace existing non-compliant fire with woodsman tarras woodburner
1158,Hawks Bay,Napier,20-Feb-17,170095,8 Churchill Drive  ,8 Churchill Drive,,,,," $4,000.00 ",replace existing with pyroclassic iv woodburner
1159,Hawks Bay,Napier,21-Feb-17,170063,160 Auckland Road  ,160 Auckland Road,,,,," $7,900.00 ",relocate hwc /replace existing with masport r5000 woodburner
1163,Hawks Bay,Napier,22-Feb-17,170030,1/64 The Esplanade  ,1/64 The Esplanade,,,,," $4,250.00 ",replace existing with kent oxford freestanding woodburner
1166,Hawks Bay,Napier,28-Feb-17,171007,356 Brookfields Road  ,356 Brookfields Road,,,,," $5,200.00 ",replace existing insert fire with a masport le 4000 insert woodburner
1167,Hawks Bay,Napier,28-Feb-17,171014,28 Anderson Road  ,28 Anderson Road,,,,," $4,500.00 ",to install new masport r1500 pedestal freestanding solid woodburner
1195,Hawks Bay,Napier,02-Mar-17,171004,12 Anzac Ave  ,12 Anzac Ave,,,,," $4,000.00 ",replace existing log burner with new compliant log burner
1196,Hawks Bay,Napier,02-Mar-17,171027,30 Ossian Street  ,30 Ossian Street,,,,," $2,500.00 ",installation of solid fuel heater
1200,Hawks Bay,Napier,06-Mar-17,171039,45 Whiting Crescent  ,45 Whiting Crescent,,,,," $4,495.00 ",replace existing log burner with new compliant log burner
1201,Hawks Bay,Napier,06-Mar-17,171040,50 Elbourne Street  ,50 Elbourne Street,,,,," $3,750.00 ",replace existing log burner with new compliant log burner
1204,Hawks Bay,Napier,07-Mar-17,171036,15 Bedford Road  ,15 Bedford Road,,,,," $5,000.00 ",replace existing log burner with new compliant log burner
1205,Hawks Bay,Napier,07-Mar-17,171045,15 Burns Road  ,15 Burns Road,,,,," $3,524.00 ",replace existing log burner with new compliant log burner
1207,Hawks Bay,Napier,08-Mar-17,171043,"5 Cumberland Rise,  ","5 Cumberland Rise,",,,,," $4,777.00 ",replace existing log burner with new compliant log burner
1208,Hawks Bay,Napier,08-Mar-17,171047,15 Neeve Road  ,15 Neeve Road,,,,," $4,700.00 ",replace existing log burner with new compliant log burner
1210,Hawks Bay,Napier,08-Mar-17,171048,39 Constable Crescent  ,39 Constable Crescent,,,,," $4,200.00 ",replace existing log burner with new compliant log burner
1212,Hawks Bay,Napier,10-Mar-17,171050,18 Freyberg Ave  ,18 Freyberg Ave,,,,," $3,374.00 ",replace existing log burner with new compliant log burner
1213,Hawks Bay,Napier,13-Mar-17,171012,15 Duckworth Crescent  ,15 Duckworth Crescent,,,,," $4,500.00 ",install new metro wee rad legs solid fuel heater with
1214,Hawks Bay,Napier,14-Mar-17,171055,254 Puketapu Road  ,254 Puketapu Road,,,,," $5,073.00 ",to install a masport hestia freestanding wood fire in the
1215,Hawks Bay,Napier,14-Mar-17,171051,20 Rutherford Road  ,20 Rutherford Road,,,,," $4,072.00 ",replace existing log burner with new compliant log burner
1239,Hawks Bay,Napier,20-Mar-17,171068,18 Storkey Street  ,18 Storkey Street,,,,," $5,300.00 ",replace existing log burner with new compliant log burner
1240,Hawks Bay,Napier,20-Mar-17,171075,136 Kent Terrace  ,136 Kent Terrace,,,,," $4,500.00 ",to install metro euro ped ve freestanding solid fuel heater
1241,Hawks Bay,Napier,20-Mar-17,171067,33 Barnard Avenue  ,33 Barnard Avenue,,,,," $4,071.00 ",replace existing log burner with new compliant log burner
1245,Hawks Bay,Napier,22-Mar-17,171082,12 Lakeview Terrace  ,12 Lakeview Terrace,,,,," $5,273.00 ",replace existing log burner with new compliant log burner
1246,Hawks Bay,Napier,22-Mar-17,171052,175 Auckland Road  ,175 Auckland Road,,,,," $4,523.00 ",replace existing log burner with new compliant log burner
1247,Hawks Bay,Napier,22-Mar-17,171065,26 Windsor Terrace  ,26 Windsor Terrace,,,,," $4,500.00 ",to install a masport i3000 insert solid fuel heater to
1248,Hawks Bay,Napier,22-Mar-17,171060,2 Oxford Place  ,2 Oxford Place,,,,," $4,500.00 ",to install masport i2000 insert solid fuel heater to replace
1249,Hawks Bay,Napier,22-Mar-17,171071,20 Havelock Road  ,20 Havelock Road,,,,," $4,000.00 ",replace existing log burner with new compliant log burner
1250,Hawks Bay,Napier,22-Mar-17,171073,18 Gallipoli Road  ,18 Gallipoli Road,,,,," $3,900.00 ",replace existing log burner with new compliant log burner
1251,Hawks Bay,Napier,22-Mar-17,171066,14A Tripoli Street  ,14A Tripoli Street,,,,," $3,800.00 ",new installation of a masport r1500 woodburner
1252,Hawks Bay,Napier,23-Mar-17,171078,48 Nuffield Avenue  ,48 Nuffield Avenue,,,,," $6,207.00 ",replace existing log burner with new compliant log burner
1253,Hawks Bay,Napier,23-Mar-17,171081,16 Owen Street  ,16 Owen Street,,,,," $4,178.00 ",to install a compliant masport i2000 insert wood fire into
1254,Hawks Bay,Napier,23-Mar-17,171077,110 Morris Spence Avenue  ,110 Morris Spence Avenue,,,,," $4,072.00 ",replace existing log burner with new compliant log burner
1255,Hawks Bay,Napier,24-Mar-17,171086,21 Chaucer Road  ,21 Chaucer Road,,,,," $5,305.00 ",replace existing log burner with new compliant log burner
1256,Hawks Bay,Napier,24-Mar-17,171091,11 Weatherfield Mews  ,11 Weatherfield Mews,,,,," $4,093.00 ",to install a compliant masport r1500p freestanding wood fire
1257,Hawks Bay,Napier,24-Mar-17,171093,18 Darwin Crescent  ,18 Darwin Crescent,,,,," $4,000.00 ",replace existing log burner with new compliant log burner
