,region,council,date_issued,council_ref,location_street,location_suburb,location_area, Location_Postcode ,legal_description,val_number,consent_value,description
255,Canterbury,Ashburton,10-Apr-19,AbBC0136/19,80 Grove Street,,Tinwald,  ,,,14000,log fire
257,Canterbury,Ashburton,15-Apr-19,AbBC0160/19,331 Surveyors Road,,Ashburton,  ,,,4000,log fire
259,Canterbury,Ashburton,15-Apr-19,AbBC0165/19,276 Fords Road,,Ashburton,  ,,,3000,log fire
260,Canterbury,Ashburton,15-Apr-19,AbBC0182/19,84 Cridland Street,,Rakaia,  ,,,7705,log fire
261,Canterbury,Ashburton,15-Apr-19,AbBC0184/19,117 Hobbs Road,,Methven,  ,,,5000,log fire
262,Canterbury,Ashburton,15-Apr-19,AbBC0186/19,114 Elgin Road,,Ashburton,  ,,,5500,log fire
263,Canterbury,Ashburton,15-Apr-19,AbBC0188/19,1064 Ashburton Staveley Road,,Ashburton,  ,,,6000,log fire
264,Canterbury,Ashburton,16-Apr-19,AbBC0191/19,26 Pendarves Rakaia Road,,Ashburton,  ,,,5000,log fire
267,Canterbury,Ashburton,16-Apr-19,AbBC0174/19,693 Hackthorne Road,,Ashburton,  ,,,3400,log fire
268,Canterbury,Ashburton,16-Apr-19,AbBC0175/19,693 Hackthorne Road,,Ashburton,  ,,,5000,log fire
273,Canterbury,Ashburton,23-Apr-19,AbBC0207/19,4 West Bay Place,,Ashburton,  ,,,2500,log fire
277,Canterbury,Ashburton,30-Apr-19,AbBC0117/19,65 Oaklands Road,,Ashburton,  ,,,19000,log fire
282,Canterbury,Ashburton,30-May-19,ABC0223/19,609 Christys Road,,Ashburton,  ,,,2500,install a f/s masport r3000 rural logfire
284,Canterbury,Ashburton,30-May-19,ABC0236/19,25 Hanrahans Road,,Ashburton,  ,,,3000,install a f/s metro ltd wee rad base logburner
285,Canterbury,Ashburton,30-May-19,ABC0249/19,9 Cushmor Drive,,Methven,  ,,,3000,install a f/s woodsman tarras mkiii logfire.
286,Canterbury,Ashburton,30-May-19,ABC0232/19,354 Dobsons Ferry Road,,Ashburton,  ,,,3000,install a f/s masport r3000  logburner
287,Canterbury,Ashburton,30-May-19,ABC0213/19,49 Spaxton Street,,Methven,  ,,,3000,install a f/s woodsman ecr novo logburner
288,Canterbury,Ashburton,30-May-19,ABC0203/19,23 Albert Street,,Ashburton,  ,,,3000,heating unit - move existing woodsman ecr mkii logfire from current location
289,Canterbury,Ashburton,30-May-19,ABC0225/19,442 Methven Highway,,Ashburton,  ,,,3000,install a f/s masport wanaka logfire
290,Canterbury,Ashburton,30-May-19,ABC0230/19,170 Seafield Road,,Ashburton,  ,,,3000,install a f/s woodsman tasman mkii logfire
291,Canterbury,Ashburton,30-May-19,ABC0258/19,961 Dromore Methven Road,,Ashburton,  ,,,3000,install a f/s woodsman ecr novo logburner
292,Canterbury,Ashburton,30-May-19,ABC0205/19,256 Mayfield Valetta Road,,Ashburton,  ,,,3000,heating unit - f/s metro wee rad ltd logfire - house 3
293,Canterbury,Ashburton,30-May-19,ABC0251/19,43 Catherwood Avenue,,Ashburton,  ,,,3000,install a f/s blaze king sirocco sc30 uleb logburner
294,Canterbury,Ashburton,30-May-19,ABC0245/19,92 Mayfield Klondyke Road,,Ashburton,  ,,,3300,install an inbuilt metro smart insert logfire
295,Canterbury,Ashburton,30-May-19,ABC0204/19,256 Mayfield Valetta Road,,Ashburton,  ,,,3500,heating unit - f/s metro wee rad ltd logfire - house 2
296,Canterbury,Ashburton,30-May-19,ABC0282/19,216 Lloyds Road,,Ashburton,  ,,,3500,install a f/s masport r3000 rural logburner
297,Canterbury,Ashburton,30-May-19,ABC0243/19,64 Carruthers Road,,Ashburton,  ,,,3500,install a f/s masport r5000 logfire
298,Canterbury,Ashburton,30-May-19,ABC0244/19,474 Acton Road,,Ashburton,  ,,,3500,install f/s masport r5000 logfire
299,Canterbury,Ashburton,30-May-19,ABC0234/19,354 Dobsons Ferry Road,,Ashburton,  ,,,3500,install a f/s masport osburn 1600 logburner
300,Canterbury,Ashburton,30-May-19,ABC0283/19,471 Hepburns Road,,Ashburton,  ,,,3699,install a f/s masport akaroa logburner
301,Canterbury,Ashburton,30-May-19,ABC0263/19,1732 Seafield Road,,Ashburton,  ,,,3900,install an inbuilt masport i2000 bannockburn logburner
302,Canterbury,Ashburton,30-May-19,ABC0248/19,1056 Fords Road,,Ashburton,  ,,,4000,install a f/s woodsman tarras mkiii logfire.
304,Canterbury,Ashburton,30-May-19,ABC0252/19,235 Dromore Methven Road,,Ashburton,  ,,,4000,install a inbuilt masport le4000 logburner
306,Canterbury,Ashburton,30-May-19,ABC0240/19,1407 Somerton Road,,Ashburton,  ,,,4000,f/s yunca wegj 2000 logburner
307,Canterbury,Ashburton,30-May-19,ABC0266/19,1440 Arundel Rakaia Gorge Road,,Ashburton,  ,,,4300,install an inbuilt masport i2000 bannockburn logfire.
308,Canterbury,Ashburton,30-May-19,ABC0194/19,97 Spaxton Street,,Methven,  ,,,4500,install a f/s metro wee rad logfire
310,Canterbury,Ashburton,30-May-19,ABC0265/19,13 William Street,,Ashburton,  ,,,4700,install a f/s masport mystique logfire
311,Canterbury,Ashburton,30-May-19,ABC0260/19,2945 Arundel Rakaia Gorge Road,,Ashburton,  ,,,4800,install a f/s woodsman tarras mkiii logfire on existing wetback.
312,Canterbury,Ashburton,30-May-19,ABC0264/19,74 Eton Street,,Ashburton,  ,,,4990,install a f/s metro wee rad ultra logfire.
313,Canterbury,Ashburton,30-May-19,ABC0280/19,100 Grey Street,,Ashburton,  ,,,4990,install a f/s metro wee rad ultra logfire
314,Canterbury,Ashburton,30-May-19,ABC0211/19,2 Colcord Place,,Methven,  ,,,5000,install a f/s woodsman brunner mkii logburner
315,Canterbury,Ashburton,30-May-19,ABC0214/19,2535 Ashburton Staveley Road,,Ashburton,  ,,,5000,install a f/s masport r5000 rural logburner
317,Canterbury,Ashburton,30-May-19,ABC0215/19,53 Boyds Road,,Ashburton,  ,,,5076,install a f/s masport r5000 rural logburner on new wetback
318,Canterbury,Ashburton,30-May-19,ABC0216/19,4 Carr Street,,Methven,  ,,,5173,install a f/s masport r5000 logburner
319,Canterbury,Ashburton,30-May-19,ABC0233/19,658 Line Road,,Ashburton,  ,,,5496,install a f/s woodsman tarras mkiii rural logburner
321,Canterbury,Ashburton,30-May-19,ABC0176/19,249 Jaines Road,,Ashburton,  ,,,6000,install a f/s firenzo lady kitchener logburner on existing wetback
322,Canterbury,Ashburton,30-May-19,ABC0254/19,41 Buckleys Terrace,,Ashburton,  ,,,6000,install f/s metro wee rad ultra logfire
324,Canterbury,Ashburton,30-May-19,ABC0200/19,74 Mcmurdo Street,,Tinwald,  ,,,7500,install f/s blaze king sirocco logfire
325,Canterbury,Ashburton,30-May-19,ABC0226/19,76 Melcombe Street,,Tinwald,  ,,,8000,install a f/s metro wee rad ultra logfire
333,Canterbury,Ashburton,30-May-19,ABC0025/19,86 Michael Street,,Rakaia,  ,,,16000,"extension for laundry, entrance and toilet.  install a f/s masport mystique logfire"
355,Canterbury,Ashburton,30-May-19,ABC0127/19,37 Barkers Road,,Methven,  ,,,320000,two story dwelling with logfire
366,Canterbury,Ashburton,05-Jun-19,AbBC0247/19,70 Storriers Road,,Ashburton,  ,,,209552,"to erect a three bedroom dwelling and transport to site. foundations, deck, steps, carport, woodburner, connection to site services"
367,Canterbury,Ashburton,05-Jun-19,AbBC0255/19,47 Redhaven Rise,,Ashburton,  ,,,369000,erect a 4 bedroom dwelling with attached garage and logfire
371,Canterbury,Ashburton,11-Jun-19,AbBC0275/19,52 Ashburton Staveley Road,,Ashburton,  ,,,522000,3 bedroom dwelling with metro logfire & attached garage
372,Canterbury,Ashburton,12-Jun-19,AbBC0309/19,38 Creek Road,,Ashburton,  ,,,5872,install a metro ultra inbuilt logburner
373,Canterbury,Ashburton,12-Jun-19,AbBC0310/19,178 Chalmers Avenue,,Ashburton,  ,,,6026,install a f/s woodsman serene logburner
374,Canterbury,Ashburton,12-Jun-19,AbBC0293/19,43 Sealy Street,,Ashburton,  ,,,7514,install a f/s blaze king sirocco 20 logburner
379,Canterbury,Ashburton,14-Jun-19,AbBC0289/19,593 Ashburton Gorge Road,,Ashburton,  ,,,1800,install a f/s yunca hobson logburner on new wetback137100
384,Canterbury,Ashburton,18-Jun-19,AbBC0302/19,7 Collins Street,,Ashburton,  ,,,4000,install a f/s jayline ul200 logburner
385,Canterbury,Ashburton,18-Jun-19,AbBC0319/19,785 Surveyors Road,,Ashburton,  ,,,4000,install a f/s woodsman brunner mkii logburner
387,Canterbury,Ashburton,18-Jun-19,AbBC0311/19,519 Valetta Westerfield Road,,Ashburton,  ,,,5500,install a kent rata inbuilt logburner
388,Canterbury,Ashburton,18-Jun-19,AbBC0303/19,38 Grove Street,,Tinwald,  ,,,5500,heating unit - f/s tropicair duo wet logburner
397,Canterbury,Ashburton,25-Jun-19,AbBC0279/19,953 Mainwarings Road,,Ashburton,  ,,,3000,install a f/s woodsman ecr novo logfire
400,Canterbury,Ashburton,27-Jun-19,AbBC0347/19,315 Blackford Road,,Ashburton,  ,,,3000,heating unit - f/s metro wee rad ltd logfire - unit 2
401,Canterbury,Ashburton,27-Jun-19,AbBC0337/19,547 Farquhars Road,,Ashburton,  ,,,4924,install a inbuilt masport i2000 bannockburn logburner on new wetback
402,Canterbury,Ashburton,27-Jun-19,AbBC0326/19,10 Balmoral Place,,Ashburton,  ,,,5000,install a f/s woodsman serene uleb logfire
412,Canterbury,Ashburton,30-Jul-19,AbBC0370/19,1477 Line Road,,Ashburton,  ,,,3000,install a f/s woodsman brunner mkii logfire
413,Canterbury,Ashburton,30-Jul-19,AbBC0364/19,29 Moodies Road,,Ashburton,  ,,,3000,install a f/s woodsman tarras logfire on wetback
414,Canterbury,Ashburton,30-Jul-19,AbBC0366/19,30 Nugent Street,,Hinds,  ,,,3000,heating unit - f/s masport r5000p logfire
415,Canterbury,Ashburton,30-Jul-19,AbBC0367/19,46 Gray Street,,Hinds,  ,,,3500,install a f/s woodsman brunner logfire
417,Canterbury,Ashburton,30-Jul-19,AbBC0419/19,689 Methven Highway,,Ashburton,  ,,,4200,install a f/s masport heartland logburner
418,Canterbury,Ashburton,30-Jul-19,AbBC0418/19,21 Clark Street,,Ashburton,  ,,,4600,install a f/s metro wee rad ultra logfire
419,Canterbury,Ashburton,30-Jul-19,AbBC0415/19,251 Rakaia Barrhill Methven Road,,Ashburton,  ,,,5000,heating unit - f/s woodsman mkii tarras logfire
422,Canterbury,Ashburton,30-Jul-19,AbBC0406/19,796 Back Track,,Ashburton,  ,,,5500,heating unit - f/s masport mackenzie r10000 logfire
423,Canterbury,Ashburton,30-Jul-19,AbBC0358/19,261 Annetts Road,,Ashburton,  ,,,5690,install a f/s metro xtreme rad ltd logfire
424,Canterbury,Ashburton,30-Jul-19,AbBC0391/19,177 Grahams Road,,Tinwald,  ,,,6000,f/s masport osburn 1600 mkii  on wetback logfire
425,Canterbury,Ashburton,30-Jul-19,AbBC0402/19,41 Suffolk Street,,Ashburton,  ,,,6000,install a metro wee rad ultra logburner
426,Canterbury,Ashburton,30-Jul-19,AbBC0353/19,73 Shearers Road,,Ashburton,  ,,,6117,install a f/s masport mackenzie r10000 logfire
451,Canterbury,Ashburton,30-Jul-19,AbBC0355/19,119 Bowen Street,,Rakaia,  ,,,90000,"extension, alterations and renovation to existing house with new logfire"
470,Canterbury,Ashburton,30-Aug-19,AbBC0447/19,103 Elizabeth Avenue,,Rakaia,  ,,,4500,install f/s metro wee rad logfire (ultra)
471,Canterbury,Ashburton,30-Aug-19,AbBC0467/19,825 Hackthorne Road,,Ashburton,  ,,,4550,heating unit - f/s masport r5000 rural logfire
472,Canterbury,Ashburton,30-Aug-19,AbBC0468/19,102 Anama Station Road,,Ashburton,  ,,,4700,heating unit - f/s masport r5000 rural logfire
475,Canterbury,Ashburton,30-Aug-19,AbBC0407/19,62 Belt Road,,Ashburton,  ,,,6500,f/s woodsman serene ultra low logburner
491,Canterbury,Ashburton,30-Aug-19,AbBC0276/19,218 River Road,,Ashburton,  ,,,145000,single level three bedroom dwelling with logfire
499,Canterbury,Ashburton,30-Aug-19,AbBC0385/19,79 Scarness Road,,Ashburton,  ,,,207000,"erect a 3 bedroom farm house with 2nd hand woodman brunner mkii logfire
advised on the passed vetting letter that the logfire will need to be re-certified by the manfacturer - 11/07/2019 ra okay by mw"
500,Canterbury,Ashburton,30-Aug-19,AbBC0322/19,2 Lime Avenue,,Ashburton,  ,,,220000,single level dwelling with firenzo bronte logburner
510,Canterbury,Ashburton,03-Sep-19,AbBC0462/19,1752 Rakaia Barrhill Methven Road,,Ashburton,  ,,,4000,install a f/s masport r10000 logfire
511,Canterbury,Ashburton,03-Sep-19,AbBC0461/19,268 Lambies Road,,Ashburton,  ,,,4500,install a f/s masport r5000 logfire
513,Canterbury,Ashburton,03-Sep-19,AbBC0450/19,92 Maldon Street,,Chertsey,  ,,,180000,single level dwelling with logfire to replace fire damaged dwelling
515,Canterbury,Ashburton,04-Sep-19,AbBC0466/19,82 Pattons Road,,Mt Somers,  ,,,4000,install an inbuilt masport le4000 logfire
531,Canterbury,Ashburton,20-Sep-19,AbBC0501/19,88 Maldon Street,,Chertsey,  ,,,2500,install a  f/s woodsman ecr novo logburner
532,Canterbury,Ashburton,20-Sep-19,AbBC0504/19,8 Redhaven Rise,,Ashburton,  ,,,5000,heating unit - f/s woodsman serene logfire
539,Canterbury,Ashburton,27-Sep-19,AbBC0484/19,43 Cambridge Street,,Ashburton,  ,,,6000,install a f/s sirocco blaze king logfire
557,Canterbury,Ashburton,14-Oct-19,AbBC0526/19,22 Whiteoak Grove,,Tinwald,  ,,,423968,"new dwelling with attached garage & new logfire
logfire changed to metro ultra low insert. ra 8/10/2019"
567,Canterbury,Ashburton,24-Oct-19,AbBC0477/19,100 Chalmers Avenue,,Ashburton,  ,,,120000,add to existing dwelling & new f/s woodsman serene logburner
571,Canterbury,Ashburton,25-Oct-19,AbBC0529/19,1047 Pole Road,,Ashburton,  ,,,315000,three bedroom farm workers dwelling with logfire & attached double garage
576,Canterbury,Ashburton,30-Oct-19,AbBC0518/19,39 Mt Darchiac Drive,,Ashburton,  ,,,25000,add bedroom & masport r3000 logfire
595,Canterbury,Ashburton,06-Nov-19,BC0547/19,,,,  ,,,354710,new dwelling with attached garage & logfire
596,Canterbury,Ashburton,06-Nov-19,AbBC0547/19,1 Gleniffer Place,,Ashburton,  ,,,354710,new dwelling with attached garage & logfire
599,Canterbury,Ashburton,08-Nov-19,AbBC0509/19,57 Northpark Road,,Ashburton,  ,,,35000,"reclad, internal alterations & new woodsman serene logburner"
600,Canterbury,Ashburton,08-Nov-19,BC0509/19,57 Northpark Road,,Ashburton,  ,,,35000,"reclad, internal alterations & new woodsman serene logburner"
635,Canterbury,Ashburton,21-Nov-19,AbBC0494/19,13 Alford Forest Settlement Road,,Ashburton,  ,,,475000,"two storey dwelling with coal range & logfire
existing house to be demolished once new house has been built"
636,Canterbury,Ashburton,21-Nov-19,BC0494/19,13 Alford Forest Settlement Road,,Ashburton,  ,,,475000,"two storey dwelling with coal range & logfire
existing house to be demolished once new house has been built"
637,Canterbury,Ashburton,22-Nov-19,BC0589/19,65 Mcmurdo Street,,Ashburton,  ,,,6000,install a f/s woodsman serene logburner
638,Canterbury,Ashburton,22-Nov-19,AbBC0590/19,103 Pages Road,,Ashburton,  ,,,6000,installing a free standing woodsman serene logfire
639,Canterbury,Ashburton,22-Nov-19,BC0590/19,103 Pages Road,,Ashburton,  ,,,6000,installing a free standing woodsman serene logfire
640,Canterbury,Ashburton,22-Nov-19,AbBC0589/19,65 Mcmurdo Street,,Ashburton,  ,,,6000,install a f/s woodsman serene logburner
647,Canterbury,Ashburton,22-Nov-19,BC0568/19,5 Redhaven Rise,,Ashburton,  ,,,450000,erect a single level dwelling with attached garage & logfire
648,Canterbury,Ashburton,22-Nov-19,AbBC0568/19,5 Redhaven Rise,,Ashburton,  ,,,450000,erect a single level dwelling with attached garage & logfire
663,Canterbury,Ashburton,30-Dec-19,AbBC0614/19,321 Tancred Street,,Ashburton,  ,,,5000,install a f/s woodman serene logfire
665,Canterbury,Ashburton,30-Dec-19,AbBC0613/19,15 Church Street,,Ashburton,  ,,,6000,install a f/s woodsman serene logfire
668,Canterbury,Ashburton,30-Dec-19,AbBC0587/19,34 Queens Drive,,Ashburton,  ,,,20000,internal alteration & relocate logfire
682,Canterbury,Ashburton,30-Dec-19,AbBC0563/19,227 Wakanui Road,,Ashburton,  ,,,467000,single level dwelling with attached garage & logfire
1886,Auckland,Auckland,02-Jan-19,BCO10275577,19 Walter Frank Driove,Waiheke Island,Auckland, 1081 ,Lot 1 DP 331964,,3000000,"rbw - new double story dwelling with internal double garage, 2 visitor studios on lower level, lift and on upper level lounge, solid fuel heater, kitchen, 3 bedrooms, 2 bath, , laundry, pool, spa, deck, and solar panels."
1998,Auckland,Auckland,14-Jan-19,ABCO10280570,41 Shelly Beach Road,Waiheke Island,Auckland, 1081 ,Lot 2 Dp 77358,,3000,install new freestanding wood fire and flue to replace existing.
1999,Auckland,Auckland,14-Jan-19,ABCO10279815,22 Sheehan Street,Ponsonby,Auckland, 1011 ,"Pt Lot 152 Allot 21 Sec 8 Suburbs Auckland, Pt Lot 153 Allot 21 Sec 8 Suburbs Auckland",,4490,install new freestanding solid wood burner
2183,Auckland,Auckland,24-Jan-19,BCO10280848,87A Te Kawa Road,Greenlane,Auckland, 1061 ,Pt Lot 9 Dp 41730,,3500,install new freestanding wood fire and flue.
2309,Auckland,Auckland,04-Feb-19,ABCO10281514,8 King Edward Street,Mount Eden,Auckland, 1024 ,Lot 43 Dp 3260,,5000,solid fuel heater
2316,Auckland,Auckland,04-Feb-19,ABCO10279715,18 Weston Avenue,Mount Albert,Auckland, 1025 ,Lot 38 Dp 18011,,95000,rbw-minor extension at the rear of the existing one storey dwelling to accommodate a new study and an enlarged dining area as well as a new covered deck area. alterations to existing internal layout - new bathroom & installation of wood burner and
2334,Auckland,Auckland,07-Feb-19,ABCO10282335,171 Blockhouse Bay Road,Avondale,Auckland, 0600 ,Lot 34 Dp 20214,,4200,installation of solid wood burner
2436,Auckland,Auckland,14-Feb-19,ABCO10279666,3 Putiki Road,Waiheke Island,Auckland, 1081 ,Lot 3 Dp 176046,,58000,"rbw - bathroom alteration and bathroom addition. bedroom extension. sanitary plumbing and drainage, and stormwater. window addition and new wood-burner."
2455,Auckland,Auckland,15-Feb-19,ABCO10281888,18 Third Avenue,Kingsland,Auckland, 1021 ,Lot 138 Dp 171,,4200,installation of solid fuel heater appliance
2582,Auckland,Auckland,25-Feb-19,ABCO10279819,568 Blind Bay Road,Great Barrier Island,Auckland,  ,Lot 10 Dp 68556,,3500,installation of solid wood burner
2583,Auckland,Auckland,25-Feb-19,ABCO10283248,6 Cumberland Avenue,Westmere,Auckland,  ,Lot 165 Dp 17365,,3785,install new insert solid wood burner to replace existing.
2625,Auckland,Auckland,28-Feb-19,ABCO10281885,9 Mount Albert Road,Mount Albert,Auckland,  ,Lot 3 Dp 16973,,6222,installation of a solid fuel heater and flue system to replace old appliance
2643,Auckland,Auckland,01-Mar-19,ABCO10283245,21 Coronet Place,Avondale,Auckland,  ,Lot 53 Dp 54002,,3828,install new freestanding solid wood burner to replace existing.
2644,Auckland,Auckland,01-Mar-19,ABCO10283258,16 Taumata Road,Sandringham,Auckland,  ,Lot 185 Dp 5007,,3900,install new built-in solid wood burner
2645,Auckland,Auckland,01-Mar-19,ABCO10282907,117 Point England Road,Point England,Auckland,  ,Lot 205 Dp 18727,,4000,install new freestanding woodfire and flue
2734,Auckland,Auckland,07-Mar-19,ABCO10282293,36 Frank Street,Waiheke Island,Auckland, 1081 ,"Lot 773 Dp 16962, Lot 774 Dp 16962",,532128,"rbw- new 1 storey detached dwelling. to include 3 bedrooms, 2 bathrooms, laundry room and living space. deck and verandah, fireplace and retaining walls. new water tanks and solid fuel heater."
2909,Auckland,Auckland,25-Mar-19,ABCO10284680,3A Palmer Crescent,Mission Bay,Auckland, 1071 ,,Lot 2 Dp 64155,4500,install new freestanding wood fire and flue.
2976,Auckland,Auckland,28-Mar-19,ABCO10283579,65 Ocean Road,Waiheke Island,Auckland, 1081 ,,Lot 592 Dp 16353,4300,installation of freestanding solid fuel heater to replace old appliance
2978,Auckland,Auckland,28-Mar-19,ABCO10284681,4/2A Moreland Road,Mount Albert,Auckland, 1025 ,,"1/6 Sh Lot 2 Dp 78833, Carport 4 Dp 79821, Store 4 Dp 79821, Flat 4 Dp 79821",5000,install new freestanding wood fire and flue.
2998,Auckland,Auckland,29-Mar-19,ABCO10284297,321 Blind Bay Road,Great Barrier Island,Auckland, 0991 ,,Lot 32 Dp 194121,1000,installation of  scandia warmbrite 140le solid fuel heater
3000,Auckland,Auckland,29-Mar-19,ABCO10284168,1 Jellicoe Parade,Waiheke Island,Auckland, 1081 ,,Lot 367 Dp 16355,4000,install new freestanding wood fire and flue.
3001,Auckland,Auckland,29-Mar-19,ABCO10285046,14 Sayegh Street,St Heliers,Auckland, 1071 ,,"1/3 Sh Lot 23A Dp 53636, 1/3 Sh Lot 23B Dp 53636, Garage 2 Dp 190824",4968,install new insert solid wood burner.
