,region,council,date_issued,council_ref,location_street,location_suburb,location_area,location_all, Location_Postcode ,legal_description,val_number,consent_value,description
56,Canterbury,Ashburton,13-Feb-20,AbBC0045/20,52 Belt Road,,Ashburton,52 Belt Road  Ashburton,  ,,,6006,install a f/s masport rakaia logfire
57,Canterbury,Ashburton,13-Feb-20,AbBC0046/20,34 Miller Avenue,,Ashburton,34 Miller Avenue  Ashburton,  ,,,6500,install a inbuilt metro ultra logfire
65,Canterbury,Ashburton,18-Feb-20,AbBC0049/20,3383 Arundel Rakaia Gorge Road,,Ashburton,3383 Arundel Rakaia Gorge Road  Ashburton,  ,,,6000,install a f/s jayline fr400 logfire
71,Canterbury,Ashburton,21-Feb-20,AbBC0072/20,153 Michael Street,,Rakaia,153 Michael Street  Rakaia,  ,,,5000,install a f/s woodsman tasman mkii logfire on new wetback
86,Canterbury,Ashburton,2-Mar-20,AbBC0035/20,9 Redhaven Rise,,Ashburton,9 Redhaven Rise  Ashburton,  ,,,450000,single level dwelling with attached garage & logfire
88,Canterbury,Ashburton,3-Mar-20,AbBC0028/20,43 Allens Road,,Ashburton,43 Allens Road  Ashburton,  ,,,4000,install a f/s woodsman serene logfire
91,Canterbury,Ashburton,4-Mar-20,AbBC0032/20,84 Creek Road,,Ashburton,84 Creek Road  Ashburton,  ,,,4000,install a f/s woodsman serene logfire
92,Canterbury,Ashburton,4-Mar-20,AbBC0029/20,10 Mcelrea Place,,Ashburton,10 Mcelrea Place  Ashburton,  ,,,4000,install a f/s woodsman serene logfire
102,Canterbury,Ashburton,16-Mar-20,AbBC0081/20,11 Walshs Road,,Ashburton,11 Walshs Road  Ashburton,  ,,,6000,install a f/s woodsman serene logfire
105,Canterbury,Ashburton,17-Mar-20,AbBC0080/20,11 Cawton Grove,,Ashburton,11 Cawton Grove  Ashburton,  ,,,394400,single level dwelling with logfire & attached garage
108,Canterbury,Ashburton,19-Mar-20,AbBC0106/20,75 Johnston Road,,Rakaia,75 Johnston Road  Rakaia,  ,,,3500,install a f/s metro ltd wee rad logfire
109,Canterbury,Ashburton,19-Mar-20,AbBC0094/20,113 Trevors Road,,Ashburton,113 Trevors Road  Ashburton,  ,,,4000,install a f/s  masport rakaia uleb logfire
110,Canterbury,Ashburton,19-Mar-20,AbBC0104/20,1463 Methven Highway,,Ashburton,1463 Methven Highway  Ashburton,  ,,,6000,install masport r5000 rural logfire
111,Canterbury,Ashburton,19-Mar-20,AbBC0105/20,7 Bullock Street,,Ashburton,7 Bullock Street  Ashburton,  ,,,6500,install inbuilt metro ultra logfire
120,Canterbury,Ashburton,24-Mar-20,AbBC0123/20,299 Alford Forest Settlement Road,,Ashburton,299 Alford Forest Settlement Road  Ashburton,  ,,,2638,install a f/s woodsman t logfire with existing wetback
122,Canterbury,Ashburton,24-Mar-20,AbBC0112/20,175 Fords Road,,Ashburton,175 Fords Road  Ashburton,  ,,,3000,install a f/s masport r5000 p logfire (second hand)
124,Canterbury,Ashburton,24-Mar-20,AbBC0110/20,1191 Tinwald Westerfield Mayfield Road,,Ashburton,1191 Tinwald Westerfield Mayfield Road  Ashburton,  ,,,5000,install a f/s  woodsman t mkiii logfire
125,Canterbury,Ashburton,24-Mar-20,AbBC0121/20,1 Lagmhor Road,,Ashburton,1 Lagmhor Road  Ashburton,  ,,,5000,install a f/s masport rakaia uleb logfire
128,Canterbury,Ashburton,30-Mar-20,AbBC0078/20,214 Bebbingtons Road,,Ashburton,214 Bebbingtons Road  Ashburton,  ,,,2399,install a f/s woodsman mkii logfire on existing wetback
131,Canterbury,Ashburton,3-Apr-20,AbBC0128/20,131 Grahams Road,,Ashburton,131 Grahams Road  Ashburton,  ,,,2000,install a f/s woodsman flare logfire
132,Canterbury,Ashburton,3-Apr-20,AbBC0127/20,200 Rawles Crossing Road,,Ashburton,200 Rawles Crossing Road  Ashburton,  ,,,3500,install f/s firenzo bronte ag logfire in alcove
133,Canterbury,Ashburton,3-Apr-20,AbBC0118/20,1926 Boundary Road,,Ashburton,1926 Boundary Road  Ashburton,  ,,,4500,install a f/s yunca hobson - variation received to change logfire to firenzo contessa rural dry - 29/04/2020 - ra
134,Canterbury,Ashburton,3-Apr-20,AbBC0132/20,16 Jackson Street,,Methven,16 Jackson Street  Methven,  ,,,5000,install a f/s woodsman brunner mkii logfire
135,Canterbury,Ashburton,3-Apr-20,AbBC0130/20,4046 Arundel Rakaia Gorge Road,,Ashburton,4046 Arundel Rakaia Gorge Road  Ashburton,  ,,,5600,install a f/s woodsman tarras mkiii logfire
136,Canterbury,Ashburton,3-Apr-20,AbBC0131/20,349 Hinds Arundel Road,,Ashburton,349 Hinds Arundel Road  Ashburton,  ,,,6000,install a f/s masport r5000 rural logfire
137,Canterbury,Ashburton,6-Apr-20,AbBC0133/20,11 Andrew Street,,Ashburton,11 Andrew Street  Ashburton,  ,,,5000,install a f/s woodsman serene logfire on wetback.
148,Canterbury,Ashburton,22-Apr-20,AbBC0068/20,1509 Seafield Road,,Ashburton,1509 Seafield Road  Ashburton,  ,,,493792,single level dwelling with logfire & attached garage
150,Canterbury,Ashburton,27-Apr-20,AbBC0059/20,60 Dunford Street,,Rakaia,60 Dunford Street  Rakaia,  ,,,12000,internal alterations and install & f/s yunca wegj logburner
155,Canterbury,Ashburton,30-Apr-20,AbBC0053/20,4393 Arundel Rakaia Gorge Road,,Ashburton,4393 Arundel Rakaia Gorge Road  Ashburton,  ,,,200000,single level dwelling with logfire
162,Canterbury,Ashburton,6-May-20,AbBC0097/20,17 Memorial Crescent,,Ashburton,17 Memorial Crescent  Ashburton,  ,,,320454,single level dwelling with logfire & attached garage
163,Canterbury,Ashburton,7-May-20,AbBC0184/20,16 Allen Street,,Methven,16 Allen Street  Methven,  ,,,4000,install a f/s masport rakaia logfire
164,Canterbury,Ashburton,7-May-20,AbBC0186/20,11 Oak Grove,,Ashburton,11 Oak Grove  Ashburton,  ,,,5000,install a f/s metro ultra wee rad logfire
171,Canterbury,Ashburton,11-May-20,AbBC0165/20,325 Fields Road,,Ashburton,325 Fields Road  Ashburton,  ,,,457040,single level dwelling with logfire & attached garage
172,Canterbury,Ashburton,11-May-20,AbBC0093/20,86 Winslow Road,,Ashburton,86 Winslow Road  Ashburton,  ,,,720000,"addition to dwelling, new logfire & add a garage, convert existing garage to bedroom (wastewater system to come in as an amendment)
note - kitchen sink to be removed from build"
174,Canterbury,Ashburton,12-May-20,AbBC0160/20,54 Churchill Avenue,,Ashburton,54 Churchill Avenue  Ashburton,  ,,,157000,new dwelling with logfire to be attached to existing garage
175,Canterbury,Ashburton,12-May-20,AbBC0138/20,13 Creek Road,,Ashburton,13 Creek Road  Ashburton,  ,,,219000,"add second storey to dwelling & new logfire

***see assets (gabrielle or youssef)  prior to giving ccc this property has triggered a change in usage and requires a water meter to be installed***"
189,Canterbury,Ashburton,21-May-20,AbBC0204/20,570 Buckleys Road,,Ashburton,570 Buckleys Road  Ashburton,  ,,,4000,install a f/s  metro wee rad logfire
190,Canterbury,Ashburton,21-May-20,AbBC0200/20,60 Suffolk Street,,Ashburton,60 Suffolk Street  Ashburton,  ,,,4500,install a f/s masport rakaia logfire
191,Canterbury,Ashburton,21-May-20,AbBC0205/20,447 Buckleys Road,,Ashburton,447 Buckleys Road  Ashburton,  ,,,5000,install a f/s metro extreme rad base logfire
192,Canterbury,Ashburton,25-May-20,AbBC0223/20,31 Rolleston Street,,Rakaia,31 Rolleston Street  Rakaia,  ,,,6000,install a f/s masport osburn 1600 dry logfire
208,Canterbury,Ashburton,2-Jun-20,AbBC0221/20,42 Havelock Street,,Ashburton,42 Havelock Street  Ashburton,  ,,,2800,install a f/s woodsman serene logfire
210,Canterbury,Ashburton,2-Jun-20,AbBC0215/20,37 Gray Street,Hinds,Ashburton,37 Gray Street Hinds Ashburton,  ,,,5000,install a geo compact pedestal logfire
211,Canterbury,Ashburton,2-Jun-20,AbBC0231/20,49 Lane Street,,Ashburton,49 Lane Street  Ashburton,  ,,,6000,install a f/s masport rakaia logfire
212,Canterbury,Ashburton,2-Jun-20,AbBC0230/20,4 Trellech Place,,Ashburton,4 Trellech Place  Ashburton,  ,,,6000,install a f/s masport rakaia logfire
215,Canterbury,Ashburton,3-Jun-20,AbBC0232/20,326 Wakanui School Road,,Ashburton,326 Wakanui School Road  Ashburton,  ,,,1000,install a f/s woodsman brunner logfire
216,Canterbury,Ashburton,3-Jun-20,AbBC0248/20,11 Lagmhor Road,,Ashburton,11 Lagmhor Road  Ashburton,  ,,,3990,installl a f/s masport waimakariri (uleb) ped logfire
217,Canterbury,Ashburton,3-Jun-20,AbBC0199/20,172 Maronan Valetta Road,,Ashburton,172 Maronan Valetta Road  Ashburton,  ,,,4000,install a f/s fisher denniston multifuel logfire
218,Canterbury,Ashburton,3-Jun-20,AbBC0238/20,105 Mt Harding Road,,Ashburton,105 Mt Harding Road  Ashburton,  ,,,5000,install a f/s woodsman tmkiii logfire on existing wetback
220,Canterbury,Ashburton,3-Jun-20,AbBC0242/20,526 Frasers Road,Tinwald,Ashburton,526 Frasers Road Tinwald Ashburton,  ,,,6000,install a f/s woodsman brunner mkii logfire
221,Canterbury,Ashburton,3-Jun-20,AbBC0240/20,32 Harrison Street,,Ashburton,32 Harrison Street  Ashburton,  ,,,10000,install a f/s  masport rakaia logfire in alcove
222,Canterbury,Ashburton,3-Jun-20,AbBC0233/20,94 Frasers Road,Tinwald,Ashburton,94 Frasers Road Tinwald Ashburton,  ,,,10000,install an inbuilt masport 1500 logfire
224,Canterbury,Ashburton,4-Jun-20,AbBC0241/20,16 Patching Street,,Ashburton,16 Patching Street  Ashburton,  ,,,2299,install a f/s woodsman ecr novo logfire
230,Canterbury,Ashburton,9-Jun-20,AbBC0175/20,75 Tarbottons Road,,Ashburton,75 Tarbottons Road  Ashburton,  ,,,442800,single level dwelling with logfire & attached garage
231,Canterbury,Ashburton,9-Jun-20,AbBC0201/20,281 Peaches Road,,Ashburton,281 Peaches Road  Ashburton,  ,,,1300000,"cottage on 212 maronan valetta road, alterations to dwelling with log fire"
243,Canterbury,Ashburton,16-Jun-20,AbBC0243/20,1 Memorial Crescent,,Methven,1 Memorial Crescent  Methven,  ,,,467646,single level dwelling with logfire & attached garage
244,Canterbury,Ashburton,17-Jun-20,AbBC0260/20,161 Lills Road,,Ashburton,161 Lills Road  Ashburton,  ,,,2000,install a f/s kent forbes logfire
246,Canterbury,Ashburton,17-Jun-20,AbBC0257/20,36 Porter Street,,Ashburton,36 Porter Street  Ashburton,  ,,,6000,install a f/s woodsman serene logfire
247,Canterbury,Ashburton,18-Jun-20,AbBC0274/20,13 Allen Street,,Methven,13 Allen Street  Methven,  ,,,5000,heating unit - f/s masport mackenzie r10000 logfire
248,Canterbury,Ashburton,18-Jun-20,AbBC0256/20,175 Springfield Road East,,Ashburton,175 Springfield Road East  Ashburton,  ,,,5000,install a f/s masport r5000 logfire
249,Canterbury,Ashburton,18-Jun-20,AbBC0259/20,118 Thomson Street,Tinwald,Ashburton,118 Thomson Street Tinwald Ashburton,  ,,,6000,install a metro ultra insert logfire
252,Canterbury,Ashburton,19-Jun-20,AbBC0265/20,30 Mt Guy Street,,Ashburton,30 Mt Guy Street  Ashburton,  ,,,200,install a f/s metro logfire on existing wetback ambience plus
254,Canterbury,Ashburton,19-Jun-20,AbBC0263/20,9 Collins Street,,Ashburton,9 Collins Street  Ashburton,  ,,,4700,install inbuilt metro ultra logfire
262,Canterbury,Ashburton,23-Jun-20,AbBC0275/20,28 Allens Road,,Ashburton,28 Allens Road  Ashburton,  ,,,4500,heating unit - f/s metro xtreme rad uleb logfire
264,Canterbury,Ashburton,23-Jun-20,AbBC0161/20,293 Ashburton River Road,,Ashburton,293 Ashburton River Road  Ashburton,  ,,,700900,single level dwelling with logfire & attached garage
265,Canterbury,Ashburton,24-Jun-20,AbBC0279/20,522 Surveyors Road,,Ashburton,522 Surveyors Road  Ashburton,  ,,,6000,install a f/s masport r5000 rural logfire
266,Canterbury,Ashburton,24-Jun-20,AbBC0280/20,58 Lampard Street,,Methven,58 Lampard Street  Methven,  ,,,6200,install a f/s masport osburn logfire on existing wetback
267,Canterbury,Ashburton,24-Jun-20,AbBC0286/20,810 Mainwarings Road,,Ashburton,810 Mainwarings Road  Ashburton,  ,,,7500,install a f/s firenzo contessa ru logfire on existing wetback
268,Canterbury,Ashburton,24-Jun-20,AbBC0278/20,707 Longbeach Road,,Ashburton,707 Longbeach Road  Ashburton,  ,,,7800,install a f/s blazeking sirocco 30 logfire
271,Canterbury,Ashburton,25-Jun-20,AbBC0273/20,11 Mcdonald Street,,Methven,11 Mcdonald Street  Methven,  ,,,4000,install a f/s woodsman brunner mkii logfire
272,Canterbury,Ashburton,25-Jun-20,AbBC0276/20,389 Hamptons Road,,Ashburton,389 Hamptons Road  Ashburton,  ,,,5000,install f/s masport r3000 logfire on existing wetback
274,Canterbury,Ashburton,26-Jun-20,AbBC0287/20,2581 Hackthorne Road,,Ashburton,2581 Hackthorne Road  Ashburton,  ,,,6700,install a f/s woodsman t mkii logfire
275,Canterbury,Ashburton,29-Jun-20,AbBC0283/20,710 Somerton Road,,Ashburton,710 Somerton Road  Ashburton,  ,,,3500,install a f/s woodsman brunner mkii logfire
276,Canterbury,Ashburton,29-Jun-20,AbBC0294/20,3446 Arundel Rakaia Gorge Road,,Ashburton,3446 Arundel Rakaia Gorge Road  Ashburton,  ,,,4000,install a f/s ravelli monica dry pellet logfire
278,Canterbury,Ashburton,29-Jun-20,AbBC0300/20,38 Eton Street,,Ashburton,38 Eton Street  Ashburton,  ,,,5500,install a f/s woodsman serene uleb logfire
279,Canterbury,Ashburton,29-Jun-20,AbBC0281/20,37 Mt Guy Street,,Ashburton,37 Mt Guy Street  Ashburton,  ,,,7000,install a f/s warmington studio stove 14 logfire
285,Canterbury,Ashburton,3-Aug-20,AbBC0351/20,877 Boltons Road,,Ashburton,877 Boltons Road  Ashburton,  ,,,5000,install a f/s metro wee rad logfire
289,Canterbury,Ashburton,4-Aug-20,AbBC0378/20,14 Mt Possession Street,,Ashburton,14 Mt Possession Street  Ashburton,  ,,,2100,install a f/s firenzo vision logfire
290,Canterbury,Ashburton,4-Aug-20,AbBC0371/20,53 Cross Street,,Ashburton,53 Cross Street  Ashburton,  ,,,3500,install a f/s masport waimakariri logfire in alcove
291,Canterbury,Ashburton,4-Aug-20,AbBC0375/20,66 Harland Street,Tinwald,Ashburton,66 Harland Street Tinwald Ashburton,  ,,,4099,install an inbuilt masport rangitata logfire
292,Canterbury,Ashburton,4-Aug-20,AbBC0376/20,18 Cavendish Street,,Ashburton,18 Cavendish Street  Ashburton,  ,,,5000,install a f/s masport rakaia logfire
296,Canterbury,Ashburton,5-Aug-20,AbBC0370/20,89 Bebbingtons Road,,Ashburton,89 Bebbingtons Road  Ashburton,  ,,,5500,install a f/s woodsman brunner mkii logfire
298,Canterbury,Ashburton,5-Aug-20,AbBC0368/20,77 Davis Crescent,,Ashburton,77 Davis Crescent  Ashburton,  ,,,6000,install a f/s woodsman serene logfire
316,Canterbury,Ashburton,11-Aug-20,AbBC0366/20,1176 Isleworth Road,,Ashburton,1176 Isleworth Road  Ashburton,  ,,,6000,install a f/s woodsman t arras mkiii logfire
318,Canterbury,Ashburton,13-Aug-20,AbBC0403/20,77 Grove Street,Tinwald,Ashburton,77 Grove Street Tinwald Ashburton,  ,,,3500,install a f/s masport waimakarri logfire
321,Canterbury,Ashburton,13-Aug-20,AbBC0312/20,119 Winslow Road,,Ashburton,119 Winslow Road  Ashburton,  ,,,275000,dwelling with shed & two logfires details may change re ceiling insulation - see mw
326,Canterbury,Ashburton,17-Aug-20,AbBC0407/20,2266 Tinwald Westerfield Mayfield Road,,Ashburton,2266 Tinwald Westerfield Mayfield Road  Ashburton,  ,,,5000,install a f/s masport mackenzie r10000 logfire
327,Canterbury,Ashburton,17-Aug-20,AbBC0392/20,110 Rakaia Terrace,,Rakaia,110 Rakaia Terrace  Rakaia,  ,,,5000,install a f/s  masport r3000 logfire
328,Canterbury,Ashburton,17-Aug-20,AbBC0409/20,173 Thomson Street,Tinwald,Ashburton,173 Thomson Street Tinwald Ashburton,  ,,,6000,install a f/s masport rakaia logfire
329,Canterbury,Ashburton,17-Aug-20,AbBC0408/20,431 Wakanui Road,,Ashburton,431 Wakanui Road  Ashburton,  ,,,6200,install a f/s masport r5000 rural logfire
331,Canterbury,Ashburton,18-Aug-20,AbBC0414/20,97 Wills Street,,Ashburton,97 Wills Street  Ashburton,  ,,,6500,install a f/s masport rakaia logfire
341,Canterbury,Ashburton,25-Aug-20,AbBC0418/20,416 Marrs Road,,Ashburton,416 Marrs Road  Ashburton,  ,,,5300,install an inbuilt metro ltd smart logfire
348,Canterbury,Ashburton,31-Aug-20,AbBC0423/20,47 Cross Street,,Ashburton,47 Cross Street  Ashburton,  ,,,6700,install an inbuilt masport rangitata uleb logfire
352,Canterbury,Ashburton,2-Sep-20,AbBC0430/20,34 Creek Road,,Ashburton,34 Creek Road  Ashburton,  ,,,6000,install a  f/s masport rakaia logfire
353,Canterbury,Ashburton,2-Sep-20,AbBC0429/20,44 Farm Road,,Ashburton,44 Farm Road  Ashburton,  ,,,7000,install a f/s woodsman serene logfire
354,Canterbury,Ashburton,2-Sep-20,AbBC0435/20,1301 Hakatere Heron Road,,Ashburton,1301 Hakatere Heron Road  Ashburton,  ,,,3000,install a f/s metro tiny rad logfire
362,Canterbury,Ashburton,7-Sep-20,AbBC0436/20,147 Thomson Street,Tinwald,Ashburton,147 Thomson Street Tinwald Ashburton,  ,,,6200,install a f/s woodsman serene logfire
363,Canterbury,Ashburton,7-Sep-20,AbBC0437/20,1467 Boundary Road,,Ashburton,1467 Boundary Road  Ashburton,  ,,,7500,install a f/s masport r5000 rural logfire
367,Canterbury,Ashburton,8-Sep-20,AbBC0442/20,4 Wayne Place,,Methven,4 Wayne Place  Methven,  ,,,4200,install a f/s masport r5000 logfire
368,Canterbury,Ashburton,8-Sep-20,AbBC0444/20,3 Ben Elder Place,,Ashburton,3 Ben Elder Place  Ashburton,  ,,,4700,install a f/s masport rakaia uleb logfire
393,Canterbury,Ashburton,2-Oct-20,AbBC0494/20,6 Carters Terrace,,Ashburton,6 Carters Terrace  Ashburton,  ,,,4500,install a f/s masport rakaia logfire in an alcove
397,Canterbury,Ashburton,6-Oct-20,AbBC0498/20,22 Hakatere Drive,,Ashburton,22 Hakatere Drive  Ashburton,  ,,,2000,install a f/s jayline rural f300 logfire
398,Canterbury,Ashburton,6-Oct-20,AbBC0499/20,10 Hakatere Drive,,Ashburton,10 Hakatere Drive  Ashburton,  ,,,2620,install a f/s woodsman brunner mkii logfire
412,Canterbury,Ashburton,14-Oct-20,AbBC0467/20,35 Redhaven Rise,,Ashburton,35 Redhaven Rise  Ashburton,  ,,,440000,single level dwelling with logfire & attached garage
414,Canterbury,Ashburton,20-Oct-20,AbBC0458/20,101 Allens Road,,Ashburton,101 Allens Road  Ashburton,  ,,,495000,two story dwelling with logfire & attached garage
417,Canterbury,Ashburton,21-Oct-20,AbBC0450/20,8 Sam Holmes Drive,,Ashburton,8 Sam Holmes Drive  Ashburton,  ,,,650000,single level dwelling with logfire & attached garage
418,Canterbury,Ashburton,21-Oct-20,AbBC0457/20,119 Tarbottons Road,,Ashburton,119 Tarbottons Road  Ashburton,  ,,,425000,single level dwelling with logfire & attached garage
420,Canterbury,Ashburton,21-Oct-20,AbBC0515/20,238 Beach Road,,Ashburton,238 Beach Road  Ashburton,  ,,,6000,install a f/s masport r5000 rural logfire on wetback
421,Canterbury,Ashburton,21-Oct-20,AbBC0516/20,30 Jackson Street,,Methven,30 Jackson Street  Methven,  ,,,7000,heating unit - f/s masport rakaia uleb logfire
422,Canterbury,Ashburton,21-Oct-20,AbBC0448/20,275 Ashburton Staveley Road,,Ashburton,275 Ashburton Staveley Road  Ashburton,  ,,,550000,single level dwelling with logfire & attached garage
424,Canterbury,Ashburton,22-Oct-20,AbBC0487/20,21 Memorial Crescent,,Methven,21 Memorial Crescent  Methven,  ,,,372900,single level dwelling with logfire & attached garage
428,Canterbury,Ashburton,23-Oct-20,AbBC0522/20,8 Collins Street,,Ashburton,8 Collins Street  Ashburton,  ,,,1500,install an inbuilt metro smart ultra logfire sfh
436,Canterbury,Ashburton,29-Oct-20,AbBC0452/20,142 Wakanui Road,,Ashburton,142 Wakanui Road  Ashburton,  ,,,456000,single level dwelling with logfire & attached garage plus shed
438,Canterbury,Ashburton,30-Oct-20,AbBC0531/20,9 Tuarangi Road,,Ashburton,9 Tuarangi Road  Ashburton,  ,,,4000,install a f/s metro ultra xtreme rad logfire
444,Canterbury,Ashburton,2-Nov-20,AbBC0453/20,67 Beach Road East,,Ashburton,67 Beach Road East  Ashburton,  ,,,460000,single level dwelling with logfire & attached garage & pole shed
446,Canterbury,Ashburton,3-Nov-20,AbBC0537/20,15 Mason Place,,Ashburton,15 Mason Place  Ashburton,  ,,,5000,install a f/s woodsman serene logfire
455,Canterbury,Ashburton,9-Nov-20,AbBC0504/20,55 Tarbottons Road,,Ashburton,55 Tarbottons Road  Ashburton,  ,,,405000,single level dwelling and logfire with attached garage
467,Canterbury,Ashburton,18-Nov-20,AbBC0577/20,3 Kelburn Place,,Ashburton,3 Kelburn Place  Ashburton,  ,,,5800,install a f/s masport rakaia logfire
471,Canterbury,Ashburton,20-Nov-20,AbBC0559/20,61 Park Street,,Ashburton,61 Park Street  Ashburton,  ,,,4000,install inbuilt masport rangitata logfire
472,Canterbury,Ashburton,20-Nov-20,AbBC0564/20,23 Kitchener Street,,Ashburton,23 Kitchener Street  Ashburton,  ,,,4500,install a f/s metro wee rad uleb logfire in alcove
476,Canterbury,Ashburton,20-Nov-20,AbBC0489/20,20 Memorial Crescent,,Methven,20 Memorial Crescent  Methven,  ,,,390000,single level dwelling with logfire & attached garage
478,Canterbury,Ashburton,24-Nov-20,AbBC0585/20,15 Beach Road,,Ashburton,15 Beach Road  Ashburton,  ,,,4200,install a f/s masport waimakariri uleb logfire
479,Canterbury,Ashburton,24-Nov-20,AbBC0586/20,11 Buchanan Place,,Ashburton,11 Buchanan Place  Ashburton,  ,,,4500,install an inbuilt masport rangitata uleb logfire
485,Canterbury,Ashburton,27-Nov-20,AbBC0538/20,28 Gordons Road,,Ashburton,28 Gordons Road  Ashburton,  ,,,445680,single level dwelling with logfire & attached garage
492,Canterbury,Ashburton,3-Dec-20,AbBC0549/20,41 Winslow Willowby Road,,Ashburton,41 Winslow Willowby Road  Ashburton,  ,,,400000,single level dwelling with logfire & attached garage
495,Canterbury,Ashburton,4-Dec-20,AbBC0550/20,4 Witney Lane,,Ashburton,4 Witney Lane  Ashburton,  ,,,650000,single level dwelling with logfire and attached garage
509,Canterbury,Ashburton,10-Dec-20,AbBC0625/20,164 Chalmers Avenue,,Ashburton,164 Chalmers Avenue  Ashburton,  ,,,5000,install a f/s woodsman serene logfire
511,Canterbury,Ashburton,14-Dec-20,AbBC0616/20,75 Kingsburys Road,,Ashburton,75 Kingsburys Road  Ashburton,  ,,,5000,install a f/s woodsman serene logfire
512,Canterbury,Ashburton,14-Dec-20,AbBC0624/20,106 Melcombe Street,Tinwald,Ashburton,106 Melcombe Street Tinwald Ashburton,  ,,,5000,install a f/s metro tiny rad ultra logfire
513,Canterbury,Ashburton,14-Dec-20,AbBC0615/20,20 Tucker Street,,Ashburton,20 Tucker Street  Ashburton,  ,,,5000,install a f/s woodsman serene logfire
514,Canterbury,Ashburton,14-Dec-20,AbBC0614/20,12 Bird Street,,Ashburton,12 Bird Street  Ashburton,  ,,,5000,install a f/s woodsman serene logfire
516,Canterbury,Ashburton,16-Dec-20,AbBC0583/20,81 Tarbottons Road,,Ashburton,81 Tarbottons Road  Ashburton,  ,,,410825,single level dwelling with logfire & attached garage
520,Canterbury,Ashburton,22-Dec-20,AbBC0638/20,75 Racecourse Avenue,,Methven,75 Racecourse Avenue  Methven,  ,,,4000,install a f/s woodsman ecr novo logfire on existing wetback
525,Canterbury,Ashburton,23-Dec-20,AbBC0554/20,1480 Boundary Road,,Ashburton,1480 Boundary Road  Ashburton,  ,,,363600,single level dwelling with logfire & attached garage
532,Canterbury,Ashburton,31-Dec-20,BC0326/20,19 Allison Street,,Ashburton,19 Allison Street  Ashburton,  ,,,358,install a f/s masport waimakariri uleb logfire
535,Canterbury,Ashburton,31-Dec-20,BC0354/20,369 Wrens Road,,Ashburton,369 Wrens Road  Ashburton,  ,,,4000,install a metro smart insert logfire
536,Canterbury,Ashburton,31-Dec-20,BC0309/20,771 Lismore Mayfield Road,,Ashburton,771 Lismore Mayfield Road  Ashburton,  ,,,4000,install a f/s metro wee rad logfire on existing wetback
537,Canterbury,Ashburton,31-Dec-20,BC0321/20,8 Camrose Avenue,,Ashburton,8 Camrose Avenue  Ashburton,  ,,,4000,install a f/s metro wee rad logfire
540,Canterbury,Ashburton,31-Dec-20,BC0314/20,292 Lethams Road,,Ashburton,292 Lethams Road  Ashburton,  ,,,4200,install inbuilt metro ltd trend logfire
541,Canterbury,Ashburton,31-Dec-20,BC0341/20,8 Catherine Street Tinwald,,Ashburton,8 Catherine Street Tinwald  Ashburton,  ,,,4500,install a f/s masport waimakariri logfire
543,Canterbury,Ashburton,31-Dec-20,BC0322/20,1 Catherwood Close,,Ashburton,1 Catherwood Close  Ashburton,  ,,,5000,install a f/s woodsman serene logfire
