,region,council,date_issued,council_ref,location_all,location_street,location_suburb,location_area,legal_description, consent_value ,description
191,Gisborne,Gisborne,18-Apr-16,16872,2278 Wharerata Road Barletts  Gisborne,2278 Wharerata Road,Barletts,,,"$3,000.00 ",new metro logfire
200,Gisborne,Gisborne,22-Apr-16,16874,3195 Te Araroa Road   Gisborne,3195 Te Araroa Road,,,,"$2,600.00 ",new metro logfire
203,Gisborne,Gisborne,26-Apr-16,1676,16 Kingfisher DriVe Gisborne  Gisborne,16 Kingfisher DriVe,Gisborne,,,"$8,500.00 ",new warmington logfire
204,Gisborne,Gisborne,26-Apr-16,16884,110 Maclaurin Road Hexton  Gisborne,110 Maclaurin Road,Hexton,,,"$6,000.00 ",new yunca logfire
205,Gisborne,Gisborne,26-Apr-16,16886,35 Einstein Street Gisborne  Gisborne,35 Einstein Street,Gisborne,,,"$5,600.00 ",new yunca logfire
206,Gisborne,Gisborne,26-Apr-16,16879,41 Motu Road Motu  Gisborne,41 Motu Road,Motu,,,"$4,000.00 ",new masport logfire
207,Gisborne,Gisborne,26-Apr-16,16877,211 Russell Street Gisborne  Gisborne,211 Russell Street,Gisborne,,,"$3,700.00 ",new masport logfire
209,Gisborne,Gisborne,27-Apr-16,16885,50A Murphy Road Wainui  Gisborne,50A Murphy Road,Wainui,,,"$6,000.00 ",new yunca logfire
215,Gisborne,Gisborne,28-Apr-16,16891,31 Marshall Road Waimata Valley  Gisborne,31 Marshall Road,Waimata Valley,,,"$4,000.00 ",new kent logfire
216,Gisborne,Gisborne,29-Apr-16,16784,22 Hamilton Drive Gisborne  Gisborne,22 Hamilton Drive,Gisborne,,,"$275,000.00 ","new dwelling, garage &  logfire"
217,Gisborne,Gisborne,29-Apr-16,16895,35A Russell Street Gisborne  Gisborne,35A Russell Street,Gisborne,,,"$6,000.00 ",new pyroclassic logfire
218,Gisborne,Gisborne,29-Apr-16,16897,8 Pare Street Wainui  Gisborne,8 Pare Street,Wainui,,,"$5,000.00 ",new masport logfire
222,Gisborne,Gisborne,2-May-16,16901,367 Rangatira Road Te Araroa  Gisborne,367 Rangatira Road,Te Araroa,,,"$6,000.00 ",new milan log fire
223,Gisborne,Gisborne,2-May-16,16903,101 Pitcher Road Te Araroa  Gisborne,101 Pitcher Road,Te Araroa,,,"$5,400.00 ",new xtreme log fire
224,Gisborne,Gisborne,2-May-16,16900,36 Lynsar Street Wainui  Gisborne,36 Lynsar Street,Wainui,,,"$3,800.00 ",new woodsman logfire
225,Gisborne,Gisborne,2-May-16,16899,38 Andrew Street Gisborne  Gisborne,38 Andrew Street,Gisborne,,,"$3,500.00 ",new masport logfire
230,Gisborne,Gisborne,5-May-16,16913,2 Murphy Road Wainui  Gisborne,2 Murphy Road,Wainui,,,"$70,000.00 ",new yunca log fire
232,Gisborne,Gisborne,5-May-16,16912,112 Iranui Road Gisborne  Gisborne,112 Iranui Road,Gisborne,,,"$5,000.00 ",new yunca log fire
233,Gisborne,Gisborne,5-May-16,16915,90 Cameron Road Gisborne  Gisborne,90 Cameron Road,Gisborne,,,"$5,000.00 ",new morso log fire
234,Gisborne,Gisborne,5-May-16,16906,16 Belfast Crescent Gisborne  Gisborne,16 Belfast Crescent,Gisborne,,,"$4,000.00 ",new woodsman logfire
235,Gisborne,Gisborne,5-May-16,16909,292 Anaura Road Anaura Bay  Gisborne,292 Anaura Road,Anaura Bay,,,"$4,000.00 ",new milan logfire
236,Gisborne,Gisborne,5-May-16,16914,569 Aberdeen Road Gisborne  Gisborne,569 Aberdeen Road,Gisborne,,,"$3,500.00 ",new yunca logfire
246,Gisborne,Gisborne,9-May-16,16921,31 Norman Road Gisborne  Gisborne,31 Norman Road,Gisborne,,,"$4,500.00 ",new metro logfire
247,Gisborne,Gisborne,9-May-16,16920,36 Cambridge Terrace Gisborne  Gisborne,36 Cambridge Terrace,Gisborne,,,"$4,300.00 ",new woodsman logfire
249,Gisborne,Gisborne,10-May-16,16925,2 Blackpool Street Gisborne  Gisborne,2 Blackpool Street,Gisborne,,,"$5,000.00 ",new masport log fire
250,Gisborne,Gisborne,10-May-16,16927,5 Haronga Road Gisborne  Gisborne,5 Haronga Road,Gisborne,,,"$3,500.00 ",new masport logfire
251,Gisborne,Gisborne,10-May-16,16926,206 Clifford Street Gisborne  Gisborne,206 Clifford Street,Gisborne,,,"$3,500.00 ",new masport logfire
256,Gisborne,Gisborne,11-May-16,16939,291 Matanui Road Tologa Bay  Gisborne,291 Matanui Road,Tologa Bay,,,"$5,775.00 ",new masport log fire
257,Gisborne,Gisborne,12-May-16,16940,4127 Tiniroto Road Tiniroto  Gisborne,4127 Tiniroto Road,Tiniroto,,,"$9,000.00 ",new mackenzie log fire
258,Gisborne,Gisborne,12-May-16,16942,6272 Waiapu Road Ruatoria  Gisborne,6272 Waiapu Road,Ruatoria,,,"$4,300.00 ",new woodsman logfire
261,Gisborne,Gisborne,13-May-16,16950,65 Paremata Road Tologa Bay  Gisborne,65 Paremata Road,Tologa Bay,,,"$6,000.00 ",new mackenzie log fire
267,Gisborne,Gisborne,17-May-16,16956,28 Owen Road Gisborne  Gisborne,28 Owen Road,Gisborne,,,"$4,500.00 ",new metro logfire
268,Gisborne,Gisborne,17-May-16,16954,2 Manuka Street Gisborne  Gisborne,2 Manuka Street,Gisborne,,,"$4,300.00 ",new woodsman logfire
270,Gisborne,Gisborne,17-May-16,16955,182 Onslow Road Pututahi  Gisborne,182 Onslow Road,Pututahi,,,"$3,800.00 ",new metro logfire
271,Gisborne,Gisborne,17-May-16,16958,17 Winter Street Gisborne  Gisborne,17 Winter Street,Gisborne,,,"$2,000.00 ",2nd hand metro logfire
273,Gisborne,Gisborne,18-May-16,16964,33 Parker Lane Makaraka  Gisborne,33 Parker Lane,Makaraka,,,"$6,500.00 ",new milan log fire
275,Gisborne,Gisborne,18-May-16,16960,40 Mutuera Road Rere  Gisborne,40 Mutuera Road,Rere,,,"$3,500.00 ",new milan logfire
276,Gisborne,Gisborne,18-May-16,16963,74 Muriwai Beach Road Muriwai  Gisborne,74 Muriwai Beach Road,Muriwai,,,"$2,500.00 ",new woodsman logfire
282,Gisborne,Gisborne,19-May-16,16965,105 Riverside Road Gisborne  Gisborne,105 Riverside Road,Gisborne,,,"$6,500.00 ",new firenzo log fire
286,Gisborne,Gisborne,20-May-16,16966,1408 Wharekopae Road Ngatapa  Gisborne,1408 Wharekopae Road,Ngatapa,,,"$6,000.00 ",new firenzo log fire
287,Gisborne,Gisborne,20-May-16,16967,1044 Matawai Road Matawai  Gisborne,1044 Matawai Road,Matawai,,,"$6,000.00 ",new yunca log fire
288,Gisborne,Gisborne,20-May-16,16968,119 Balance Street Gisborne  Gisborne,119 Balance Street,Gisborne,,,"$5,000.00 ",new wagner log fire
289,Gisborne,Gisborne,20-May-16,16928,386 Kopuaroa Road Waipiro Bay  Gisborne,386 Kopuaroa Road,Waipiro Bay,,,"$4,000.00 ",new kent logfire
290,Gisborne,Gisborne,20-May-16,16972,4 Lyndhurst Street Gisborne  Gisborne,4 Lyndhurst Street,Gisborne,,,"$3,000.00 ",2nd hand metro logfire
291,Gisborne,Gisborne,20-May-16,16971,167 King Road Gisborne  Gisborne,167 King Road,Gisborne,,,"$2,500.00 ",new yunca logfire
292,Gisborne,Gisborne,20-May-16,16970,117 Ormond Road Gisborne  Gisborne,117 Ormond Road,Gisborne,,,"$2,000.00 ",new masport logfire
296,Gisborne,Gisborne,23-May-16,16976,6 Gillies Street Gisborne  Gisborne,6 Gillies Street,Gisborne,,,"$4,500.00 ",new milan logfire
300,Gisborne,Gisborne,24-May-16,16984,14 Oak Street Gisborne  Gisborne,14 Oak Street,Gisborne,,,"$5,500.00 ",new yunca log fire
301,Gisborne,Gisborne,24-May-16,16985,2 Victoria Street Gisborne  Gisborne,2 Victoria Street,Gisborne,,,"$4,500.00 ",new wagner logfire
302,Gisborne,Gisborne,24-May-16,1683,141 Lytton Road Gisborne  Gisborne,141 Lytton Road,Gisborne,,,"$3,700.00 ",new yunca logfire
303,Gisborne,Gisborne,24-May-16,16980,3 De Lautour Road Gisborne  Gisborne,3 De Lautour Road,Gisborne,,,"$3,200.00 ",new masport logfire
305,Gisborne,Gisborne,25-May-16,16986,107 Clifford Street Gisborne  Gisborne,107 Clifford Street,Gisborne,,,"$5,000.00 ",new yunca log fire
307,Gisborne,Gisborne,25-May-16,16989,8 Ngawari Place Whatatutu  Gisborne,8 Ngawari Place,Whatatutu,,,"$4,500.00 ",new kent logfire
308,Gisborne,Gisborne,26-May-16,16993,6 Moana Road Wainui  Gisborne,6 Moana Road,Wainui,,,"$5,000.00 ",new masport log fire
309,Gisborne,Gisborne,26-May-16,16994,20 Fergusson Drive Gisborne  Gisborne,20 Fergusson Drive,Gisborne,,,"$5,000.00 ",new masport log fire
310,Gisborne,Gisborne,26-May-16,16995,25 School Road Gisborne  Gisborne,25 School Road,Gisborne,,,"$4,000.00 ",new woodsman logfire
311,Gisborne,Gisborne,26-May-16,16996,14 Tuamotu Park Gisborne  Gisborne,14 Tuamotu Park,Gisborne,,,"$2,300.00 ",new woodsman logfire
312,Gisborne,Gisborne,30-May-16,16998,7 Argyll Street Gisborne  Gisborne,7 Argyll Street,Gisborne,,,"$3,500.00 ",new masport logfire
317,Gisborne,Gisborne,2-Jun-16,17012,15 Hunter Street Gisborne  Gisborne,15 Hunter Street,Gisborne,,,"$6,000.00 ",new logfire
318,Gisborne,Gisborne,2-Jun-16,17009,72 Ngakoroa Road Ormond  Gisborne,72 Ngakoroa Road,Ormond,,,"$4,000.00 ",new logfire
319,Gisborne,Gisborne,2-Jun-16,17007,693 Awapuni Road Gisborne  Gisborne,693 Awapuni Road,Gisborne,,,"$4,000.00 ",new logfire
320,Gisborne,Gisborne,2-Jun-16,17006,101 Clifford Street Gisborne  Gisborne,101 Clifford Street,Gisborne,,,"$4,000.00 ",new logfire
321,Gisborne,Gisborne,2-Jun-16,17008,271 Puhunga Road Ruatoria  Gisborne,271 Puhunga Road,Ruatoria,,,"$1,000.00 ",new logfire
323,Gisborne,Gisborne,3-Jun-16,16856,431 Awapuni Road Gisborne  Gisborne,431 Awapuni Road,Gisborne,,,"$100,000.00 ",new studio with logfire
326,Gisborne,Gisborne,7-Jun-16,17015,29 Domain Road Ormond  Gisborne,29 Domain Road,Ormond,,,"$5,500.00 ",new logfire
327,Gisborne,Gisborne,7-Jun-16,17014,1340 Lavenham Road Pututahi  Gisborne,1340 Lavenham Road,Pututahi,,,"$5,000.00 ",new logfire
328,Gisborne,Gisborne,7-Jun-16,17022,542 Aberdeen Road Gisborne  Gisborne,542 Aberdeen Road,Gisborne,,,"$2,500.00 ",new logfire
334,Gisborne,Gisborne,8-Jun-16,17019,450 Riverside Road Gisborne  Gisborne,450 Riverside Road,Gisborne,,,"$2,500.00 ",new logfire
338,Gisborne,Gisborne,10-Jun-16,16997,26 Kelvin Street Gisborne  Gisborne,26 Kelvin Street,Gisborne,,,"$4,500.00 ",new logfire
344,Gisborne,Gisborne,13-Jun-16,17031,4 Dillon Bell Road Gisborne  Gisborne,4 Dillon Bell Road,Gisborne,,,"$9,775.00 ",new logfire
346,Gisborne,Gisborne,13-Jun-16,17033,220 Paremata Road Tologa Bay  Gisborne,220 Paremata Road,Tologa Bay,,,"$5,200.00 ",new logfire
347,Gisborne,Gisborne,13-Jun-16,17042,16 Worsely Street Gisborne  Gisborne,16 Worsely Street,Gisborne,,,"$4,500.00 ",new logfire
350,Gisborne,Gisborne,14-Jun-16,17041,170 Papatu Road Manutuke  Gisborne,170 Papatu Road,Manutuke,,,"$8,000.00 ",new logfire
351,Gisborne,Gisborne,14-Jun-16,17037,25 Hinaki Stret Gisborne  Gisborne,25 Hinaki Stret,Gisborne,,,"$7,500.00 ",new logfire
352,Gisborne,Gisborne,14-Jun-16,17035,11 Gwyneth Place Gisborne  Gisborne,11 Gwyneth Place,Gisborne,,,"$7,000.00 ",new logfire
353,Gisborne,Gisborne,14-Jun-16,17038,1041A Aberdeen Road Gisborne  Gisborne,1041A Aberdeen Road,Gisborne,,,"$6,000.00 ",new logfire
354,Gisborne,Gisborne,14-Jun-16,17039,332 Wharerata Road Gisborne  Gisborne,332 Wharerata Road,Gisborne,,,"$6,000.00 ",new logfire
355,Gisborne,Gisborne,14-Jun-16,17034,275 Aberdeen Road Gisborne  Gisborne,275 Aberdeen Road,Gisborne,,,"$6,000.00 ",new logfire
356,Gisborne,Gisborne,14-Jun-16,17040,291 Ormond Road Gisborne  Gisborne,291 Ormond Road,Gisborne,,,"$5,500.00 ",new logfire
357,Gisborne,Gisborne,14-Jun-16,17036,7B Sunvale Crescent Gisborne  Gisborne,7B Sunvale Crescent,Gisborne,,,"$4,500.00 ",new logfire
364,Gisborne,Gisborne,17-Jun-16,17053,257 Awapuni Road Gisborne  Gisborne,257 Awapuni Road,Gisborne,,,"$4,500.00 ",new logfire
365,Gisborne,Gisborne,17-Jun-16,17056,3613 Whangara Road Whangara  Gisborne,3613 Whangara Road,Whangara,,,"$3,800.00 ",new logfire
366,Gisborne,Gisborne,17-Jun-16,17054,8 Justin Street Gisborne  Gisborne,8 Justin Street,Gisborne,,,"$3,500.00 ",new logfire
372,Gisborne,Gisborne,20-Jun-16,17062,345B Matawai Road Makauri  Gisborne,345B Matawai Road,Makauri,,,"$5,000.00 ",new logfire
373,Gisborne,Gisborne,20-Jun-16,17055,21 Parau Street Gisborne  Gisborne,21 Parau Street,Gisborne,,,"$4,500.00 ",new logfire
375,Gisborne,Gisborne,20-Jun-16,17066,19 Scott Street Gisborne  Gisborne,19 Scott Street,Gisborne,,,"$2,100.00 ",new logfire
377,Gisborne,Gisborne,21-Jun-16,17069,334 Te Araroa Road Ruatoria  Gisborne,334 Te Araroa Road,Ruatoria,,,"$7,000.00 ",new logfire
378,Gisborne,Gisborne,21-Jun-16,17070,18 Newton Street Gisborne  Gisborne,18 Newton Street,Gisborne,,,"$5,000.00 ",new logfire
379,Gisborne,Gisborne,22-Jun-16,17074,29 Anzac Street Gisborne  Gisborne,29 Anzac Street,Gisborne,,,"$4,500.00 ",new logfire
380,Gisborne,Gisborne,22-Jun-16,17073,27 Grafton Road Gisborne  Gisborne,27 Grafton Road,Gisborne,,,"$1,000.00 ",new logfire
383,Gisborne,Gisborne,27-Jun-16,17081,124 Kaimoe Road Pututahi  Gisborne,124 Kaimoe Road,Pututahi,,,"$5,000.00 ",new logfire
391,Gisborne,Gisborne,28-Jun-16,17086,25 Pare Street Wainui  Gisborne,25 Pare Street,Wainui,,,"$5,000.00 ",new logfire
392,Gisborne,Gisborne,28-Jun-16,17085,84 Cooper Road Gisborne  Gisborne,84 Cooper Road,Gisborne,,,"$4,800.00 ",new logfire
396,Gisborne,Gisborne,30-Jun-16,17093,730 Awapuni Road Matawhero  Gisborne,730 Awapuni Road,Matawhero,,,"$5,500.00 ",new logfire
397,Gisborne,Gisborne,30-Jun-16,17094,730 Awapuni Road Matawhero  Gisborne,730 Awapuni Road,Matawhero,,,"$4,800.00 ",new logfire
400,Gisborne,Gisborne,1-Jul-16,17092,11 Morice Road Rere  Gisborne,11 Morice Road,Rere,,,"$3,500.00 ",logfire
405,Gisborne,Gisborne,4-Jul-16,17097,285 Aberdeen Road Gisborne  Gisborne,285 Aberdeen Road,Gisborne,,,"$4,500.00 ",logfire
412,Gisborne,Gisborne,7-Jul-16,17104,8 Ash Street Gisborne  Gisborne,8 Ash Street,Gisborne,,,"$7,500.00 ",logfire
413,Gisborne,Gisborne,7-Jul-16,17103,300 Kahutia Street Gisborne  Gisborne,300 Kahutia Street,Gisborne,,,"$7,000.00 ",logfire
422,Gisborne,Gisborne,11-Jul-16,17110,189 Barkers Hill Road Gisborne  Gisborne,189 Barkers Hill Road,Gisborne,,,"$5,000.00 ",logfire
426,Gisborne,Gisborne,13-Jul-16,17119,94 Endcliffe Road Gisborne  Gisborne,94 Endcliffe Road,Gisborne,,,"$4,500.00 ",logfire
434,Gisborne,Gisborne,19-Jul-16,17137,142 Burshmere Road Matawhero  Gisborne,142 Burshmere Road,Matawhero,,,"$4,000.00 ",logfire
435,Gisborne,Gisborne,19-Jul-16,17136,264 Wairere Road Whatatutu  Gisborne,264 Wairere Road,Whatatutu,,,"$3,500.00 ",logfire
436,Gisborne,Gisborne,19-Jul-16,17125,256A Wairere Road Whatatutu  Gisborne,256A Wairere Road,Whatatutu,,,"$3,500.00 ",logfire
437,Gisborne,Gisborne,19-Jul-16,17139,589 Wairere Road Whatatutu  Gisborne,589 Wairere Road,Whatatutu,,,"$3,500.00 ",logfire
438,Gisborne,Gisborne,19-Jul-16,17138,1033 Whatatutu Road Whatatutu  Gisborne,1033 Whatatutu Road,Whatatutu,,,"$3,500.00 ",logfire
439,Gisborne,Gisborne,20-Jul-16,17134,1877 Tiniroto Road Tiniroto  Gisborne,1877 Tiniroto Road,Tiniroto,,,"$5,000.00 ",logfire
440,Gisborne,Gisborne,20-Jul-16,17127,125 Ormond  Road Gisborne  Gisborne,125 Ormond  Road,Gisborne,,,"$4,500.00 ",logfire
441,Gisborne,Gisborne,20-Jul-16,17131,115 Main Road Makaraka  Gisborne,115 Main Road,Makaraka,,,"$4,000.00 ",logfire
442,Gisborne,Gisborne,20-Jul-16,17140,625 Childers Road Gisborne  Gisborne,625 Childers Road,Gisborne,,,"$4,000.00 ",logfire
443,Gisborne,Gisborne,20-Jul-16,17129,1944 Mata Road Tokomaru Bay  Gisborne,1944 Mata Road,Tokomaru Bay,,,"$3,800.00 ",logfire
446,Gisborne,Gisborne,21-Jul-16,17132,46 Winter Street Gisborne  Gisborne,46 Winter Street,Gisborne,,,"$5,000.00 ",logfire
447,Gisborne,Gisborne,21-Jul-16,17133,10 Riperata Street Gisborne  Gisborne,10 Riperata Street,Gisborne,,,"$4,500.00 ",logfire
448,Gisborne,Gisborne,21-Jul-16,17141,14B Maraehara Road Tikitiki  Gisborne,14B Maraehara Road,Tikitiki,,,"$1,000.00 ",logfire
449,Gisborne,Gisborne,22-Jul-16,17148,24 Steele Road Gisborne  Gisborne,24 Steele Road,Gisborne,,,"$5,000.00 ",logfire
450,Gisborne,Gisborne,25-Jul-16,17150,67 Bell Road Gisborne  Gisborne,67 Bell Road,Gisborne,,,"$65,000.00 ",logfire
452,Gisborne,Gisborne,25-Jul-16,17152,5392A Te Araroa Road Hick Bay  Gisborne,5392A Te Araroa Road,Hick Bay,,,"$11,000.00 ",logfire
453,Gisborne,Gisborne,25-Jul-16,17151,39 Murphy Road Gisborne  Gisborne,39 Murphy Road,Gisborne,,,"$6,500.00 ",logfire
456,Gisborne,Gisborne,26-Jul-16,17156,261 Whitaker Street Gisborne  Gisborne,261 Whitaker Street,Gisborne,,,"$5,000.00 ",logfire
459,Gisborne,Gisborne,27-Jul-16,17155,74 Wharekopae Road Gisborne  Gisborne,74 Wharekopae Road,Gisborne,,,"$18,000.00 ",logfire
