add
"15 Cracroft Terrace, Cashmere"
"21A Kingham Place, Avonhead"
"4 Kingham Place, Avonhead"
"7 Ashcroft Place, Burnside"
"11 Bendale Place, Avonhead"
"205 Withells Road, Avonhead"
"21 Glenburn Place, Avonhead"
"23 Strathean Avenue, Avonhead"
"23 Elwyn Place, Avonhead"
"242 Withells Road, Avonhead"
"19 Upper Crichton Terrace, Cashmere"
"2 Hare Street, Ilam"
"50 Gladson Avenue, Sockburn"
"7 Gatonby Place, Avonhead"
"10 Westlake Drive, Halswell"
"14 Westlake Drive, Halswell"
"1 Brigham Drive, Halswell"
"25 Lakeview Place, Halswell"
"34 Lancewood Drive, Halswell"
"39 Checketts Avenue, Halswell"
"44 Nottingham Avenue, Halswell"
"65 Cobra Street, Halswell"
"9 Addison Place, Halswell"
"10 Birdling Place, Halswell"
"15 Birdling Place, Halswell"
"21 Nottingham Avenue, Halswell"
"23 Ridder Place, Halswell"
"25 Fern Drive, Halswell"
"35 Fern Drive, Halswell"
"3 Candys Road, Halswell"
"30 Watsons Road, Harewood"
"197 Fendalton Road, Fendalton"
"6 Hyde Place, Halswell"
"250 Pages Road, Wainoni"
"14 Ron Place, Bishopdale"
"2 Chatswood Place, Bishopdale"
"54 Charlcott Street, Burnside"
"5 Dulcie Place, Harewood"
"61 Teesdale Street, Burnside"
"7B Dulcie Place, Harewood"
"11 Kingsgate Place, Burnside"
"15 Witbrock Crescent, Burnside"
"15 Geelong Place, Burnside"
"18 Nepal Place, Burnside"
"20 Ambleside Drive, Burnside"
"21 Appleby Crescent, Burnside"
"2 Dalton Place, Burnside"
"37 Ambleside Drive, Burnside"
"49 Ambleside Drive, Burnside"
"67 Burnside Crescent, Burnside"
"6A Witbrock Crescent, Burnside"
"6 Annell Place, Burnside"
"6 Geelong Place, Burnside"
"7 Ambleside Drive, Burnside"
"12 Hanover Place, Ilam"
"14 Tudor Avenue, Ilam"
"14 Westburn Terrace, Burnside"
"15 Brackendale Place, Burnside"
"15 Seagrave Place, Ilam"
"17 Glenavon Place, Ilam"
"17 Braco Place, Burnside"
"18 Gothic Place, Ilam"
"19 Raxworthy Street, Ilam"
"21 Seagrave Place, Ilam"
"225 Waimairi Road, Ilam"
"22 Hadlow Place, Burnside"
"24 Hadlow Place, Burnside"
"8B Balmoral Lane, Redcliffs"
"2 Powell Crescent, Ilam"
"50 Grahams Road, Ilam"
"61 Grahams Road, Burnside"
"11 Bayswater Crescent, Bromley"
"23 Rutherford Street, Woolston"
"42 Gould Crescent, Woolston"
"252 Queenspark Drive, Parklands"
"2 Ferngrove Place, Parklands"
"3 Flaxgrove Place, Parklands"
"5 Wisteria Place, Parklands"
"154 Queenspark Drive, Parklands"
"15 Curzon Place, Parklands"
"16 Ingrid Street, Parklands"
"38 Cottonwood Street, Parklands"
"5 Arosa Place, Parklands"
"3 Doyle Place, Avondale"
"8 Cowper Place, Avondale"
"176 Breezes Road, Aranui"
"295 Wainoni Road, Avondale"
"303 Wainoni Road, Avondale"
"32 Bournemouth Crescent, Aranui"
"3 Solent Place, Aranui"
"8 Doyle Place, Avondale"
"138 Shortland Street, Aranui"
"247 Breezes Road, Aranui"
"34 Carters Road, Aranui"
"395B Pages Road, Aranui"
"7 McHaffies Place, Wainoni"
"26 Bayswater Crescent, Bromley"
"31 Bayswater Crescent, Bromley"
"127 Port Hills Road, Heathcote Valley"
"3 Aberfoyle Place, Parklands"
"428 Bower Avenue, Parklands"
"109 Beach Road, North New Brighton"
"300 Bower Avenue, North New Brighton"
"33 Marriotts Road, North New Brighton"
"36 Beauford Place, Parklands"
"6 Flemington Avenue, North New Brighton"
"8 Inverell Place, North New Brighton"
"128 Palmers Road, New Brighton"
"21 Thurso Place, New Brighton"
"3 Thurso Place, New Brighton"
"52 Castletown Place, New Brighton"
"95 Palmers Road, New Brighton"
"97 Wattle Drive, New Brighton"
"98 Willryan Avenue, New Brighton"
"136 Hampshire Street, Aranui"
"153 Hampshire Street, Aranui"
"44A Eureka Street, Aranui"
"66 Eureka Street, Aranui"
"250 Shortland Street, Aranui"
"2 Ariel Place, Aranui"
"5 Channel Place, Aranui"
"15 Janice Place, Mount Pleasant"
"259 Cannon Hill Crescent, Mount Pleasant"
"30 St Andrews Hill Road, Mount Pleasant"
"113 Bridle Path Road, Heathcote Valley"
"218 Cannon Hill Crescent, Mount Pleasant"
"238 Bridle Path Road, Ferrymead"
"21 Marsden Street, Heathcote Valley"
"11 Otaki Place, North New Brighton"
"11 Pegasus Avenue, North New Brighton"
"22 Larnach Street, Waimairi Beach"
"23 Eros Place, North New Brighton"
"23 Britannia Street, North New Brighton"
"25 Eros Place, North New Brighton"
"27 Sea Eagles Place, North New Brighton"
"36 Leverett Place, North New Brighton"
"47 Marine Parade, North New Brighton"
"5 Otaki Place, North New Brighton"
"61 Tedder Avenue, North New Brighton"
"71 Pegasus Avenue, North New Brighton"
"7 Monowai Crescent, North New Brighton"
"7 Tonks Street, North New Brighton"
"185A Keyes Road, New Brighton"
"20 Leverett Place, North New Brighton"
"107 Major Hornbrook Road, Mount Pleasant"
"46 McCormacks Bay Road, Mount Pleasant"
"4 Toledo Place, Mount Pleasant"
"185 Mt Pleasant Road, Mount Pleasant"
"188 Mt Pleasant Road, Mount Pleasant"
"209 Mt Pleasant Road, Mount Pleasant"
"20 Toledo Place, Mount Pleasant"
"262 Major Hornbrook Road, Mount Pleasant"
"6 Madeley Road, Mount Pleasant"
"25 Tovey Street, New Brighton"
"35 Jervois Street, New Brighton"
"8 Drake Street, New Brighton"
"8 Cradock Street, South New Brighton"
"8 Cromer Place, New Brighton"
"233 Pine Avenue, South New Brighton"
"271 Estuary Road, South New Brighton"
"290 Estuary Road, South New Brighton"
"402 Marine Parade, South New Brighton"
"462 Marine Parade, South New Brighton"
"483 Marine Parade, South New Brighton"
"68 Halsey Street, South New Brighton"
"361 Estuary Road, South New Brighton"
"512A Marine Parade, South New Brighton"
"533 Marine Parade, South New Brighton"
"53 Rocking Horse Road, Southshore"
"562 Marine Parade, Southshore"
"159 Main Road, Moncks Bay"
"16 Celia Street, Redcliffs"
"19B Bay View Road, Moncks Bay"
"19 Wakatu Avenue, Moncks Bay"
"69 Bay View Road, Moncks Bay"
"74 Wakatu Avenue, Moncks Bay"
"160 Rocking Horse Road, Southshore"
"165F Rocking Horse Road, Southshore"
"21 Pukeko Place, Southshore"
"117 Panorama Road, Clifton"
"12 De Thier Lane, Richmond Hill"
"154 Panorama Road, Clifton"
"158 Clifton Terrace, Clifton"
"17 Revelation Drive, Clifton"
"200 Panorama Road, Clifton"
"2 Cliff Street, Moncks Bay"
"4 Sanscrit Place, Richmond Hill"
"123 Sumnervale Drive, Sumner"
"132 Sumnervale Drive, Sumner"
"17 Sumnervale Drive, Sumner"
"14 Whitfield Street, Sumner"
"2 Clifton Bay, Clifton"
"107 Old Tai Tapu Road, Kennedys Bush"
"9 McDermott Place, Halswell"
"51A Falcon Street, New Brighton"
"119 Turners Road, Ouruhia"
"35 Rushmore Drive, Belfast"
"7 Swynford Lane, Spreydon"
"5 Millbank Lane, Merivale"
"475 Dawsons Road, Templeton"
"97B Mt Pleasant Road, Mount Pleasant"
"9 Pensacola Crescent, Broomfield"
"29 Ivey Road, Templeton"
"27A Sabys Road, Halswell"
"9 Signal Hill Road, Mount Pleasant"
"20 Bridle Path Road, Heathcote Valley"
"2 Cowper Place, Avondale"
"9 Brackendale Place, Burnside"
"11 Ilkley Place, Ilam"
"128 Marshland Road, Shirley"
"15 Hillary Crescent, Upper Riccarton"
"7 Tensing Place, Sockburn"
"19 Rosamund Place, Halswell"
"14 School Road, Halswell"
"46 Muir Avenue, Halswell"
"488A Halswell Road, Halswell"
"540 Halswell Road, Halswell"
"5 Birchdale Place, Halswell"
"12 Pasadena Place, Harewood"
"16 Pelorus Place, Harewood"
"17 Pelorus Place, Harewood"
"399 Sawyers Arms Road, Harewood"
"4 St Ives Street, Harewood"
"5 Pasadena Place, Harewood"
"79 Gardiners Road, Bishopdale"
"7 Patricia Place, Harewood"
"9A Goya Place, Bishopdale"
"9 Dymock Place, Bishopdale"
"106 Isleworth Road, Bishopdale"
"21 Elvira Court, Bishopdale"
"38 Liverton Crescent, Bishopdale"
"412 Wairakei Road, Burnside"
"8 Leacroft Street, Bishopdale"
"11 Midhurst Street, Bishopdale"
"15 Gregan Crescent, Burnside"
"18 Sevenoaks Drive, Bryndwr"
"299 Wairakei Road, Bryndwr"
"33 Sevenoaks Drive, Bryndwr"
"48 Sevenoaks Drive, Bryndwr"
"51 Sevenoaks Drive, Bryndwr"
"53 Sevenoaks Drive, Bryndwr"
"9 Sandringham Place, Bryndwr"
"139 Greers Road, Burnside"
"20 Bannister Place, Ilam"
"23 Braithwaite Street, Ilam"
"24 Ryeland Avenue, Ilam"
"26 Tuirau Place, Ilam"
"28 Tuirau Place, Ilam"
"2 Hampton Place, Burnside"
"33 Truman Road, Bryndwr"
"363 Ilam Road, Burnside"
"54B Greers Road, Burnside"
"59 Truman Road, Bryndwr"
"105 Hamilton Avenue, Ilam"
"14B Coldstream Court, Ilam"
"14 Moorpark Place, Ilam"
"17 Newbridge Place, Ilam"
"20 Newbridge Place, Ilam"
"22 Wilfrid Street, Ilam"
"2 Newbridge Place, Ilam"
"2 Coldstream Court, Ilam"
"30A Wilfrid Street, Ilam"
"41 Maidstone Road, Ilam"
"5 Chilcombe Street, Ilam"
"11 Ilam Road, Upper Riccarton"
"14 Hanrahan Street, Upper Riccarton"
"14 Field Terrace, Upper Riccarton"
"36 Rountree Street, Upper Riccarton"
"346 Blenheim Road, Upper Riccarton"
"112 Warren Crescent, Hillmorton"
"133 Warren Crescent, Hillmorton"
"5 Cardinal Drive, Hillmorton"
"318 Gardiners Road, Harewood"
"4 Smacks Close, Harewood"
"278 Gardiners Road, Harewood"
"10 Westerleigh Street, Bishopdale"
"111 Highsted Road, Casebrook"
"26 Martbern Crescent, Bishopdale"
"274A Sawyers Arms Road, Bishopdale"
"4 Tralee Place, Bishopdale"
"4 Ballybrack Place, Casebrook"
"51 Highsted Road, Bishopdale"
"87 Cotswold Avenue, Bishopdale"
"11A Westmorland Place, Bishopdale"
"141 Harris Crescent, Papanui"
"15 Ardmore Place, Bishopdale"
"36 Reynolds Avenue, Bishopdale"
"40 Bainton Street, Bishopdale"
"7 Pimlico Place, Bishopdale"
"10 Manor Place, Bryndwr"
"17 Manor Place, Bryndwr"
"19 Brent Place, Papanui"
"25 Torquay Place, Bryndwr"
"327 Greers Road, Bishopdale"
"10 Rhyl Place, Bryndwr"
"11 Verran Place, Fendalton"
"14 Rhyl Place, Bryndwr"
"1 Eden Place, Bryndwr"
"234B Clyde Road, Burnside"
"336 Ilam Road, Bryndwr"
"14 Hamilton Avenue, Ilam"
"184A Fendalton Road, Fendalton"
"67A Kotare Street, Fendalton"
"107 Totara Street, Riccarton"
"108 Peverel Street, Riccarton"
"12 Tonga Place, Riccarton"
"68 Sylvan Street, Hillmorton"
"14 Dalglish Place, Hoon Hay"
"8 Myers Place, Hoon Hay"
"72A Ottawa Road, Wainoni"
"29 Maka Lane, Halswell"
"237 Johns Road, Northwood"
"10 Blairdon Place, Bishopdale"
"12 Cherry Place, Casebrook"
"138A Highsted Road, Casebrook"
"179 Sawyers Arms Road, Bishopdale"
"20C Applewood Place, Casebrook"
"21 Brogar Place, Casebrook"
"23 Larch Place, Casebrook"
"30 Brogar Place, Casebrook"
"33B Kimberley Street, Casebrook"
"36 Brockham Street, Casebrook"
"68 Grayshott Avenue, Casebrook"
"52 Ruapani Street, Marshland"
"4 Opal Place, Casebrook"
"500 Greers Road, Bishopdale"
"7A Cintra Place, Casebrook"
"8 Brockham Street, Casebrook"
"115 Harewood Road, Papanui"
"139 Sawyers Arms Road, Northcote"
"176A Harewood Road, Papanui"
"176C Harewood Road, Papanui"
"8B Taramea Place, Addington"
"15 Polish Settlers Place, Marshland"
"20/336 Lincoln Road, Addington"
"25 Resolution Place, Bryndwr"
"3 Merton Place, Bryndwr"
"1/34 Newbridge Place, Ilam"
"47B Aorangi Road, Bryndwr"
"1/2 Loreto Place, Hornby"
"41A Overdale Drive, Cashmere"
"3/81 Union Street, New Brighton"
"1/59 Ford Road, Opawa"
"109B Arcon Drive, Broomfield"
"2/25 Cowes Street, Avondale"
"100B Wainui Street, Riccarton"
"1/24B Prossers Road, Saint Martins"
"10 Ladbrokes Place, Fendalton"
"112 Idris Road, Bryndwr"
"2/26A Heaphy Place, Casebrook"
"79A MacKenzie Avenue, Woolston"
"1/15 Ngarimu Street, Avonside"
"187 Idris Road, Strowan"
"44 Plynlimon Road, Strowan"
"2/37 Laing Crescent, Heathcote Valley"
"2/25 Inwoods Road, Parklands"
"2/29 Leyden Street, Phillipstown"
"34A Leyden Street, Phillipstown"
"77A Idris Road, Fendalton"
"16 Kotare Street, Fendalton"
"25 Glandovey Road, Fendalton"
"9B Aratoro Place, Mount Pleasant"
"15A Castile Place, Belfast"
"29 Rochdale Street, Fendalton"
"35A Jacksons Road, Merivale"
"53 Harakeke Street, Riccarton"
"4 Bradshaw Terrace, Riccarton"
"6B Rimu Street, Riccarton"
"8 Kauri Street, Riccarton"
"10 Sylvan Street, Hillmorton"
"134A Lincoln Road, Addington"
"23 Blakehall Place, Spreydon"
"26 Blakehall Place, Spreydon"
"45 Neville Street, Spreydon"
"32 Gainsborough Street, Hoon Hay"
"68 Domain Terrace, Spreydon"
"76 Samuel Street, Hoon Hay"
"94 Hoon Hay Road, Hoon Hay"
"12 Marion Street, Hoon Hay"
"157 Sparks Road, Hoon Hay"
"268 Prestons Road, Marshland"
"286 Cranford Street, St Albans"
"20 Hawthorne Street, Strowan"
"22 Lansbury Avenue, Strowan"
"52 Frank Street, Papanui"
"73 Watford Street, Strowan"
"15 Westholme Street, Strowan"
"46 Halton Street, Strowan"
"69 Normans Road, Strowan"
"70 St Andrews Square, Strowan"
"44 Wroxton Terrace, Merivale"
"18 Darvel Street, Riccarton"
"23 Matai Street West, Riccarton"
"60 Matai Street West, Riccarton"
"52 Whiteleigh Avenue, Addington"
"10 Dellow Place, Spreydon"
"266 Lyttelton Street, Spreydon"
"442 Barrington Street, Spreydon"
"3/21 Hei Hei Road, Hei Hei"
"12 Greenpark Street, Hoon Hay"
"35 Winsor Crescent, Spreydon"
"3 Gleig Place, Spreydon"
"3 Mountfort Street, Spreydon"
"40 Therese Street, Spreydon"
"4 Yale Street, Spreydon"
"52 Sparks Road, Hoon Hay"
"54 Greenpark Street, Hoon Hay"
"190 Cashmere Road, Hoon Hay"
"237 Hoon Hay Road, Hoon Hay"
"23 Leistrella Road, Hoon Hay"
"263 Hoon Hay Road, Hoon Hay"
"298 Hoon Hay Road, Hoon Hay"
"72 Kaiwara Street, Hoon Hay"
"7 Chevy Place, Hoon Hay"
"72 Ravensdale Rise, Westmorland"
"7 Petworth Place, Westmorland"
"10B Kaputone Place, Belfast"
"11B Kaputone Place, Belfast"
"1 Sefton Street, Belfast"
"36 Lagan Street, Belfast"
"97B Johns Road, Northwood"
"21A Tisch Place, Belfast"
"578 Waterloo Road, Islington"
"5 Anglem Way, Northwood"
"7 Tisch Place, Belfast"
"7 Baltic Place, Northwood"
"9A Tisch Place, Belfast"
"10 Pyatt Place, Redwood"
"11 Regents Park Drive, Casebrook"
"12 Rossiter Avenue, Redwood"
"18 Pyatt Place, Redwood"
"1 Tracy Place, Redwood"
"25 Regents Park Drive, Casebrook"
"10 Craig Place, Redwood"
"25 Saunders Place, Redwood"
"29 Chipping Lane, Redwood"
"66 Wingate Street, Redwood"
"8 Hannah Place, Redwood"
"22 Winters Road, Redwood"
"66B Birdwood Avenue, Beckenham"
"10 Redmund Spur Road, Kennedys Bush"
"52 Winters Road, Redwood"
"6 Ramore Place, Redwood"
"129 Chapter Street, St Albans"
"16 Tomes Road, St Albans"
"16 Dulles Place, Papanui"
"30 Tomes Road, St Albans"
"354 Papanui Road, Strowan"
"50 Tomes Road, St Albans"
"99 Chapter Street, St Albans"
"118 Knowles Street, St Albans"
"70 Murray Place, St Albans"
"81 Office Road, Merivale"
"76 Cleveland Street, Edgeware"
"15 Rhodes Street, Merivale"
"21 Church Square, Addington"
"105 Simeon Street, Spreydon"
"11 Sydney Street, Spreydon"
"24 Cheviot Street, Spreydon"
"25 Sugden Street, Spreydon"
"29A Puriri Street, Riccarton"
"30 Roberta Drive, Somerfield"
"34 Frankleigh Street, Somerfield"
"51 Roberta Drive, Somerfield"
"78 Roberta Drive, Somerfield"
"7 Roker Street, Somerfield"
"160 Rose Street, Somerfield"
"60 Stanbury Avenue, Somerfield"
"2 Holmcroft Court, Cracroft"
"6 Worsleys Road, Cracroft"
"16 Darroch Street, Belfast"
"4 Riegler Place, Belfast"
"811 Main North Road, Belfast"
"821 Main North Road, Belfast"
"843 Main North Road, Belfast"
"848 Main North Road, Belfast"
"14B Castile Place, Belfast"
"20 Castile Place, Belfast"
"21 Donegal Street, Belfast"
"24 Third Street, Belfast"
"31 Castile Place, Belfast"
"38 Donegal Street, Belfast"
"51 Manakura Street, Russley"
"71 Manakura Street, Russley"
"7 Kimbrace Place, Belfast"
"8 Shannon Place, Belfast"
"37 Shenley Drive, Belfast"
"105 Lowry Avenue, Redwood"
"10A Strack Place, Redwood"
"12 Monteath Place, Redwood"
"25 Sonning Place, Redwood"
"27 Sonning Place, Redwood"
"2 Langham Place, Redwood"
"7A Strack Place, Redwood"
"122 Grimseys Road, Redwood"
"16 Clivedon Place, Redwood"
"18A Mulberry Place, Redwood"
"18 Regency Crescent, Redwood"
"2/20A Clivedon Place, Redwood"
"10 Devonport Lane, St Albans"
"86 Aviemore Drive, Marshland"
"55 Rutland Street, St Albans"
"6 Hawkesbury Avenue, St Albans"
"79 Mansfield Avenue, St Albans"
"83 Abberley Crescent, St Albans"
"89 Trafalgar Street, St Albans"
"4 Bristol Street, St Albans"
"82 Montreal Street, Sydenham"
"18 Devon Street, Sydenham"
"29 Browning Street, Sydenham"
"7 Antrim Street, Sydenham"
"89 Ruskin Street, Addington"
"107A Somerfield Street, Somerfield"
"118 Selwyn Street, Somerfield"
"125 Studholme Street, Somerfield"
"16 Selwyn Street, Somerfield"
"16 Somerfield Street, Somerfield"
"41 Tainui Street, Somerfield"
"42 Tainui Street, Somerfield"
"98 Studholme Street, Somerfield"
"10A Woodbridge Road, Cashmere"
"10 Purau Terrace, Cashmere"
"18 Sherwood Lane, Cashmere"
"27 Overdale Drive, Cashmere"
"41 Overdale Drive, Cashmere"
"45 Whareora Terrace, Cashmere"
"6 Sherwood Lane, Cashmere"
"72A Dyers Pass Road, Cashmere"
"7 Whareora Terrace, Cashmere"
"9 Woodbridge Road, Cashmere"
"138 Hackthorne Road, Cashmere"
"21A Westenra Terrace, Cashmere"
"21 Burnridge Place, Belfast"
"17 Greenfield Place, Mairehau"
"6 Heather Place, Mairehau"
"8 Heather Place, Mairehau"
"104 Malvern Street, St Albans"
"11 Mahars Road, Mairehau"
"15 Thames Street, Mairehau"
"15 Cavan Place, Mairehau"
"15 Mahars Road, Mairehau"
"16 Cavan Place, Mairehau"
"382 Innes Road, Mairehau"
"11 Oxley Avenue, St Albans"
"140 Westminster Street, St Albans"
"39 Oxley Avenue, St Albans"
"64 Francis Avenue, Mairehau"
"38 Canon Street, St Albans"
"83 Bishop Street, St Albans"
"856 Colombo Street, Christchurch Central"
"102 Hastings Street West, Sydenham"
"15 Gibbon Street, Sydenham"
"15 Albemarle Street, Sydenham"
"26 Southampton Street, Sydenham"
"34 Hutcheson Street, Sydenham"
"67 Huxley Street, Sydenham"
"101 Tennyson Street, Sydenham"
"112 Colombo Street, Sydenham"
"19 Victoria Park Road, Cashmere"
"23 Takahe Drive, Cashmere"
"149 Slater Street, Richmond"
"18 Spurway Place, Mairehau"
"212 Geraldine Street, Edgeware"
"239 Hills Road, Mairehau"
"48 Woodville Street, Edgeware"
"54 Nicholls Street, Richmond"
"86 Aylesford Street, Mairehau"
"96A Edward Avenue, Edgeware"
"156 Canon Street, Edgeware"
"17 Champion Street, Edgeware"
"50 Avalon Street, Richmond"
"314 Cashel Street, Christchurch Central"
"532 Moorhouse Avenue, Waltham"
"160 Huxley Street, Sydenham"
"16 Wilding Street, Saint Martins"
"185 Hastings Street East, Waltham"
"192 Hastings Street East, Waltham"
"203 Hastings Street East, Waltham"
"29 Fifield Terrace, Waltham"
"363 Eastern Terrace, Sydenham"
"38 York Street, Waltham"
"11 Burnbrae Street, Saint Martins"
"139A Fisher Avenue, Beckenham"
"139 Wilsons Road South, Saint Martins"
"13 Kowhai Terrace, Saint Martins"
"188 Centaurus Road, Saint Martins"
"21 Parklands Drive, Huntsbury"
"31 Parklands Drive, Huntsbury"
"65 Parklands Drive, Huntsbury"
"6 St Martins Road, Saint Martins"
"7 Kowhai Terrace, Saint Martins"
"7 Koromiko Street, Saint Martins"
"82 Palatine Terrace, Saint Martins"
"8 St Martins Road, Saint Martins"
"16 Sunvale Terrace, Cashmere"
"30 Huntsbury Avenue, Huntsbury"
"69 Huntsbury Avenue, Huntsbury"
"159 Bowenvale Avenue, Cashmere"
"3 Fineran Lane, Cashmere"
"65 Bowenvale Avenue, Cashmere"
"73A Bowenvale Avenue, Cashmere"
"673 Marshland Road, Ouruhia"
"30 Clearbrook Street, Shirley"
"10 Bellbrook Crescent, Shirley"
"149 Marshland Road, Shirley"
"8 Amos Place, Shirley"
"39 Averill Street, Richmond"
"30 Cowlishaw Street, Avonside"
"32 Petrie Street, Richmond"
"17 Linwood Avenue, Linwood"
"21 Saxon Street, Phillipstown"
"64 Brittan Street, Linwood"
"66 Brittan Street, Linwood"
"108 Olliviers Road, Phillipstown"
"95 Grafton Street, Waltham"
"105A Hawford Road, Opawa"
"25 Whittington Avenue, Woolston"
"3 Cholmondeley Avenue, Opawa"
"41 Laurence Street, Waltham"
"5 Locarno Street, Opawa"
"8 Claxton Place, Saint Martins"
"211 Fifield Terrace, Opawa"
"225 Centaurus Road, Saint Martins"
"228 Centaurus Road, Saint Martins"
"264 Riverlaw Terrace, Saint Martins"
"354 Riverlaw Terrace, Saint Martins"
"39 Ford Road, Opawa"
"39 Prossers Road, Saint Martins"
"43 Ford Road, Opawa"
"47 Wilsons Road South, Saint Martins"
"59 Hillsborough Terrace, Hillsborough"
"6 Erewhon Terrace, Hillsborough"
"86 Vernon Terrace, Hillsborough"
"82 Riverlea Estate Drive, Kainga"
"93 Riverlea Estate Drive, Kainga"
"11A Yellowstone Crescent, Burwood"
"32 Yellowstone Crescent, Burwood"
"33 Yellowstone Crescent, Burwood"
"5 Pepperwood Place, Shirley"
"8 Claydon Place, Dallington"
"17 Lionel Street, Avonside"
"88 Retreat Road, Avonside"
"224 Olliviers Road, Linwood"
"104 Randolph Street, Woolston"
"10 Manning Place, Woolston"
"31 Edmonds Street, Woolston"
"9 Manning Place, Woolston"
"100 Radley Street, Woolston"
"103 MacKenzie Avenue, Woolston"
"105 MacKenzie Avenue, Woolston"
"140 Richardson Terrace, Woolston"
"152 MacKenzie Avenue, Woolston"
"155 Opawa Road, Hillsborough"
"188 Richardson Terrace, Opawa"
"22 Keswick Street, Woolston"
"24 Hopkins Street, Woolston"
"25 Sheldon Street, Woolston"
"38 Wildberry Street, Woolston"
"45 Dampier Street, Woolston"
"55 Sullivan Avenue, Woolston"
"56 Hopkins Street, Woolston"
"5 Judge Street, Woolston"
"64 Radley Street, Woolston"
"66 Sullivan Avenue, Woolston"
"90 Richardson Terrace, Woolston"
"94 Radley Street, Woolston"
"14 Grange Street, Hillsborough"
"22A Grange Street, Hillsborough"
"34 Ford Road, Opawa"
"373 Port Hills Road, Hillsborough"
"38 Brabourne Street, Hillsborough"
"7 Brabourne Street, Hillsborough"
"23 Waitikiri Drive, Parklands"
"2 Waitikiri Drive, Parklands"
"32 Waitikiri Drive, Parklands"
"50 Waitikiri Drive, Parklands"
"56 Waitikiri Drive, Parklands"
